Run,Abs_peak_nm,Eg_prime_eV,Radius_nm
Run 2,485.98,2.5515453310835836,1.9383178640735936
Run 2,503.00574,2.465180616030346,2.0362270276972154
Run 2,509.00899,2.436106285666978,2.0727845456192733
Run 2,512.00478,2.421852389737455,2.0914623601067683
Run 2,515.00067,2.407763857860612,2.1104430221744708
Run 2,519.0174,2.3891299212704626,2.136383410622649
Run 2,519.0174,2.3891299212704626,2.136383410622649
Run 2,522.00873,2.375439200030237,2.1560819078989684
Run 2,522.00873,2.375439200030237,2.1560819078989684
Run 2,522.00873,2.375439200030237,2.1560819078989684
Run 2,525.98145,2.357497588555642,2.1827662265595604
Run 2,525.98145,2.357497588555642,2.1827662265595604
Run 2,525.98145,2.357497588555642,2.1827662265595604
Run 2,527.00244,2.3529302824480283,2.189723519132532
Run 2,531.00854,2.3351790161416233,2.217428841915991
Run 2,533.99194,2.322132427691699,2.2384960756337984
Run 3,499.01324,2.484904007757389,2.0125283392100815
Run 3,503.99377,2.46034787295089,2.042166153509068
Run 3,509.00699,2.436115857662387,2.072772174995566
Run 3,514.01489,2.412381477898432,2.104163567619889
Run 3,515.00067,2.407763857860612,2.1104430221744708
Run 3,517.00946,2.3984087254418904,2.1233441712010417
Run 3,520.00201,2.384606167195392,2.1428307451545585
Run 3,524.0144,2.3663471843521857,2.169477728307879
Run 3,525.98145,2.357497588555642,2.1827662265595604
Run 3,527.00244,2.3529302824480283,2.189723519132532
Run 3,527.00244,2.3529302824480283,2.189723519132532
Run 3,529.98853,2.3396732755707,2.210312186835532
Run 3,531.00854,2.3351790161416233,2.217428841915991
Run 3,529.98853,2.3396732755707,2.210312186835532
Run 3,533.99194,2.322132427691699,2.2384960756337984
Run 3,531.9906,2.330868252183403,2.2243218570028014
Run 3,535.99225,2.3134662861263386,2.2528366274322122
Run 3,535.99225,2.3134662861263386,2.2528366274322122
Run 4,457.98242,2.7075275072785545,1.7929793360842827
Run 4,472.9936,2.621599953995149,1.868713786241139
Run 4,478.99353,2.5887614807657213,1.9003687678667875
Run 4,488.990204,2.535838120798019,1.9550494144446073
Run 4,492.991,2.515258899249682,1.9776587942332176
Run 4,496.98331,2.495053606528557,2.000659360932838
Run 4,496.98331,2.495053606528557,2.000659360932838
Run 4,502.00891,2.470075680529256,2.030265224869809
Run 4,503.98535,2.460388977576432,2.042115413359905
Run 4,503.98535,2.460388977576432,2.042115413359905
