Wavelength (nm),20 s,40 s,60 s,80 s,100 s,120 s,140 s,160 s,180 s,220 s,240 s,260 s,280 s,300 s
599.9901733,0.006099063,0.000496492,0.008352733,0.01396909,0.002204053,0.00217148,-0.00077294,-0.005635054,-0.003796978,-0.005196868,0.005615926,0.003071828,0.001083202,-0.001842738
598.9869385,0.006050237,0.000611624,0.008208307,0.013965614,0.002314642,0.002166563,-0.000810303,-0.005742361,-0.003729793,-0.005136192,0.005604546,0.003115549,0.001154935,-0.001894649
597.9835815,0.006126471,0.000586765,0.008275316,0.014066218,0.002095833,0.002309021,-0.000614977,-0.00570358,-0.003765363,-0.005245361,0.005673988,0.003064294,0.001098461,-0.001867741
597.0170898,0.00623964,0.000720434,0.008485277,0.014314954,0.002429867,0.00235696,-0.000522582,-0.005568971,-0.0036915,-0.005347598,0.005956039,0.003319431,0.001279043,-0.001725646
596.0131226,0.006210491,0.000767109,0.008541401,0.014313349,0.002358625,0.002322918,-0.000510792,-0.005608939,-0.003707721,-0.005334558,0.005790764,0.00319419,0.001314639,-0.001775869
595.0088501,0.006117282,0.000656991,0.008505789,0.014499833,0.002239724,0.002486671,-0.000418633,-0.005569789,-0.003718808,-0.005419442,0.005796587,0.003229735,0.001247604,-0.001811806
594.0043945,0.006319636,0.000888149,0.00856437,0.014699169,0.002526193,0.002683511,-0.000201243,-0.005456152,-0.003476872,-0.005161057,0.006174912,0.003459162,0.001532951,-0.00157747
592.9996948,0.006329118,0.000854144,0.008613769,0.014726992,0.002549106,0.002709402,-0.000137174,-0.005415505,-0.003452373,-0.005343252,0.006097593,0.003415224,0.001389086,-0.001580307
591.9946289,0.006394919,0.000912299,0.00867387,0.01489841,0.002552621,0.002893939,0.000100501,-0.005277073,-0.003350047,-0.005081137,0.006124082,0.003545199,0.001648722,-0.001499313
590.9893799,0.006424947,0.000937306,0.008609123,0.015095999,0.002478574,0.002846931,0.000136622,-0.005239836,-0.003414671,-0.005185511,0.006168926,0.003643652,0.001738716,-0.001569216
589.9839478,0.006292899,0.001116757,0.008684328,0.015166708,0.00256637,0.002986953,0.000291522,-0.005226895,-0.003394432,-0.005193543,0.006451378,0.003701895,0.001671979,-0.001358027
589.0153809,0.00640506,0.001043785,0.008761475,0.015223326,0.002537832,0.003045577,0.000274064,-0.005092957,-0.003290449,-0.005214056,0.006454241,0.003827594,0.001756415,-0.001376193
588.0093994,0.006478098,0.001019524,0.008914753,0.015396549,0.00263551,0.003237376,0.000415073,-0.005028583,-0.003089502,-0.005145453,0.006474026,0.003868258,0.001972479,-0.001284321
587.0030518,0.006482513,0.001094075,0.009052807,0.015516962,0.002598426,0.00334849,0.000575179,-0.004942189,-0.003225396,-0.00509966,0.006634568,0.003923056,0.001895593,-0.001260524
585.996521,0.006543686,0.001295218,0.008946541,0.015841052,0.002640615,0.003434009,0.000811532,-0.004913421,-0.002923741,-0.005068703,0.006713113,0.003942412,0.002004959,-0.000911316
584.9897461,0.006520009,0.001244022,0.008856072,0.015840972,0.00269333,0.003474557,0.000770247,-0.004827517,-0.003017067,-0.00513169,0.006755151,0.004061257,0.002101399,-0.001047015
