Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,600 s reaction
420,22.31990623,21.11704636,16.21613121,18.06827736,16.02686119,16.18050575,13.34661102,14.94298363,7.480342388,13.74065304,12.74366474,13.08511257,10.45548534,10.218256
421.0599976,23.78614426,22.51086426,16.43410492,19.10232735,17.00491524,17.66730309,13.36460876,15.30517864,7.866368771,14.35872841,13.84873199,13.87556744,11.15181446,10.599823
421.9599915,24.9674015,23.78197289,16.94874001,19.96045113,17.79153061,18.47928619,13.86353016,15.86386585,8.171093941,14.9547224,15.0546217,14.42841244,11.54000854,11.35056305
423.0299988,26.23871422,25.71121788,17.16913033,20.74871254,18.94364166,19.22873497,14.40766621,16.21011543,8.725049973,16.01927948,15.90638447,15.45612717,11.9875288,11.59275436
423.9299927,27.94560814,26.70630455,17.8571434,22.10438919,19.64437103,20.47530174,14.90665817,16.78917885,9.251390457,16.57002831,16.32407761,16.41147995,12.64469147,12.40526485
425,28.5245266,28.36594772,18.43469048,22.84651756,20.89809227,21.42886734,15.53372574,17.03040504,9.497692108,17.271101,16.52341461,17.05730247,13.08110905,13.21568298
426.0599976,30.38911057,29.34308052,19.14960098,23.88520813,21.76278687,22.2493248,16.20040321,17.53647041,10.38556576,18.28831291,16.82876396,18.07683182,14.03317833,14.00004864
426.9599915,31.82406044,30.57866287,19.58297348,25.07064056,22.81313133,23.75886726,16.94309616,18.09449196,10.65331745,19.06859207,17.60603714,18.61888885,14.30633736,14.4180603
428.0299988,33.87486649,32.14805984,20.53993988,26.12820625,24.09326935,24.55958748,17.77666092,19.2681694,11.07362461,19.98199081,18.11091995,19.81983566,15.58674526,15.29725647
428.9299927,34.74689102,32.80568314,21.42938614,27.25505066,25.27610397,25.87073708,18.14495087,19.56232643,11.7956934,21.01549149,18.6921196,20.74331665,15.78637218,15.90041637
430,36.78364563,34.34675217,22.1109333,28.67022514,26.02257538,27.07846642,19.45825768,20.36281204,12.48941135,21.69701958,19.16795349,21.61379623,16.83208275,16.66124344
431.0599976,38.58664322,36.81198502,23.17809868,30.13247299,27.39990425,28.37144661,20.30529976,21.28055954,13.03279591,22.67839622,20.38152122,22.7664547,17.41601753,17.67827034
431.9599915,40.48639679,38.38152695,24.31454468,30.68844986,28.75919914,29.78660965,21.18787956,22.07126617,13.47098541,23.60527039,21.23157692,23.6281414,17.90152168,18.05462265
433.0299988,42.40317535,39.02962494,25.21553993,32.69950104,30.30939674,31.2765274,22.35953522,23.36629486,14.50397778,25.32429504,22.05768394,24.77321243,18.88362694,19.13147354
433.9299927,43.32304001,40.19821548,25.92972374,33.74757767,30.99860191,32.20117188,22.2316227,24.18087006,15.04251194,25.44129753,23.07234764,25.66952515,19.90604401,20.00794983
435,45.2600441,41.35310745,26.90132904,34.99552536,32.14093399,33.8278656,23.06126976,24.93392944,15.89417076,26.52858734,23.36112785,26.32362938,20.10255814,20.76463699
436.0599976,46.86473083,43.57058334,27.9734211,36.05767441,33.79382706,35.21498871,24.87493515,25.56780815,16.04916763,27.86572838,24.77834702,27.82018089,20.54351044,21.50917053
436.9599915,49.02810287,44.96780777,28.96353722,37.57863235,34.57814789,35.96302795,25.37626076,26.31080818,16.60505867,28.36767769,25.83330536,28.93151855,21.59136009,22.61781693
438.0299988,50.9507637,46.97141266,29.83384514,39.39928436,36.0193634,37.36381531,26.3697319,27.82426262,17.57707024,29.85691452,26.74228859,29.7165947,22.5794735,23.42519569
438.9299927,53.14208603,48.3355751,30.67699051,39.6846199,37.27440643,38.41728973,27.11177063,27.97174263,18.37709045,30.79972649,27.56111526,30.39159775,22.82613182,24.19056129
440,54.72860718,50.11661911,32.31705475,41.33314896,38.70735168,39.40448761,27.64210129,29.42117119,19.20758438,31.77973175,27.99785233,31.52261353,24.23760223,25.23099709
441.0599976,55.97293854,51.70034409,33.26032639,43.34019852,40.25068665,41.16960526,29.15722466,30.2484436,19.46517944,32.49537659,28.96387482,32.74598312,25.0735302,26.01979065
441.9599915,57.97211456,52.97463226,34.362957,43.8598671,40.96138,42.6524086,29.50468063,30.82674408,19.90757942,33.48169327,29.91690636,33.36031723,25.68514061,26.82091522
443.0299988,60.25371552,55.41450882,35.40182877,45.69973755,42.67412567,43.84011459,30.33885956,31.65624619,21.39334869,34.92751312,31.25900841,35.05264664,26.48813057,28.30904198
443.9299927,62.1317215,56.60795593,36.47659302,46.78580475,43.97196579,45.29685211,31.33591652,32.44832993,21.38879585,35.67776871,32.02771378,35.39170074,27.48544312,28.62619209
445,64.09371185,57.38939285,37.64222717,48.5932045,44.09273529,46.54455566,32.23819733,33.84782791,22.16609192,36.92869568,32.88594818,36.99428558,28.24610901,29.21185112
446.0599976,66.3633728,59.92915726,39.13043594,50.00203705,46.85364914,47.80847549,33.21283722,34.63064957,22.95943832,38.19913483,33.73501968,38.02796173,28.82200432,30.36118126
446.9599915,67.78408813,61.61879349,39.97012329,50.91252136,47.45953751,49.06882095,34.1791153,34.92826843,23.36959648,39.00820923,34.71442795,38.766819,29.75999641,31.22207832
448.0299988,70.07478333,63.30134583,41.36536026,52.84921646,49.24199295,50.33174896,35.64637756,36.86133957,24.50668716,39.94836044,35.66691971,39.56261826,30.72212982,32.0492363
448.9299927,71.48360443,64.33414459,42.41567993,54.01855469,50.54207993,52.53215408,36.0187645,36.75567245,24.80428696,40.72364807,36.08941269,40.97742844,31.20824242,33.49150467
450,73.28659821,66.2256012,42.89010239,55.6219101,51.79036713,53.64287186,37.57087326,38.11303711,25.71983337,41.59283066,37.5457077,41.47248077,32.26604462,34.19630432
451.0599976,76.04225159,68.2121582,44.91345215,57.34469986,52.88582611,55.01119614,37.99156952,39.17556,26.64180374,42.77811813,38.44175339,43.48551941,32.52709961,34.86991501
451.9599915,77.81958771,69.73081207,45.31362915,58.31614304,54.27763367,56.12565231,39.10124588,39.70310211,27.00176811,43.81422424,38.96879196,44.34290695,33.77838516,35.74633789
453.0299988,79.26351929,71.66841888,46.2907753,59.66723633,55.59295273,56.66963196,39.1794548,40.78169632,27.53444862,44.67089081,40.49587631,45.03982544,34.24438095,37.05696487
453.9299927,81.2895813,72.5076828,48.40235519,60.42859268,56.57911682,59.27331161,40.45962524,41.57066345,28.30265808,45.55168533,41.04648972,45.87879944,35.58100128,37.17314148
455,83.63262177,75.18448639,48.37785339,61.59547424,58.2813797,59.74323273,41.71828461,42.44758987,29.04260445,46.61106873,42.16401672,47.0854454,36.40356827,38.93268585
456.0599976,85.14720154,77.03659821,49.46895599,63.9459343,59.75868988,61.53474045,42.26522446,43.79372787,29.97855377,47.79325104,42.44180679,48.16188049,37.39963913,39.18933487
456.9599915,87.15296936,78.86217499,51.26478958,64.81292725,60.44032669,61.81628418,43.12308121,44.18120193,30.66000748,48.54130173,43.78305817,49.23978424,37.37281036,40.28873062
458.0299988,88.95304108,79.50894928,52.03993988,65.63315582,62.44109726,63.79447937,43.84637451,44.95093918,31.22057343,49.76437378,44.97096634,50.43564606,38.46627426,41.14477921
458.9299927,91.27842712,81.96517181,53.35218048,66.84791565,63.36355209,64.39797211,44.65552521,45.54838181,32.23113251,50.12412643,45.72774887,50.52922821,39.18479919,42.31170654
460,92.84170532,82.60565948,53.97042465,68.45560455,64.18109894,65.99034882,45.79101181,46.8748703,32.64316177,51.15196609,46.67947388,52.06708908,40.31964874,42.9241066
461.0599976,95.0860672,84.56093597,55.05680847,69.3192749,65.72947693,67.96373749,46.69078827,47.61982346,33.21401215,51.83322906,46.96829605,52.39570999,41.17544556,44.2977066
461.9599915,95.84116364,84.48159027,55.59943008,69.35599518,67.11884308,68.46614075,47.2595253,48.05683517,33.89006042,53.0900116,48.19044113,53.48629379,41.71193695,44.28375626
463.0299988,97.71473694,86.28216553,55.38028336,71.69361877,67.48802185,68.99694061,48.07621002,48.83958817,34.19203186,53.90470505,48.20136642,53.87475586,42.18922424,44.72224426
463.9299927,98.73832703,86.90578461,56.95473862,71.97506714,68.15193939,69.82058716,48.59718323,48.73303986,34.91171265,53.27788162,49.61682892,54.16114044,42.0923233,44.99699402
465,100.0522842,88.55836487,58.03784561,72.22486115,69.3796463,69.94424438,49.0095253,49.8835907,35.22751236,54.17954254,49.90751648,55.14800262,42.55176926,46.13534927
466.0599976,101.7908478,89.95951843,58.15739059,72.66098785,70.84778595,72.10725403,49.6564827,49.05857849,35.37983704,54.75783539,50.40770721,55.59693909,42.36945724,46.05521011
466.9599915,103.1154327,89.68682861,59.82374191,73.41111755,70.88293457,72.0267334,49.78001404,50.7293129,36.18141937,55.00956345,50.60775375,56.20182037,42.9858284,46.50007248
468.0299988,104.8571396,91.12015533,59.2518425,74.43330383,70.88299561,73.02526093,49.96658325,50.01387405,36.35361862,55.92972565,53.31383514,55.72351837,43.7334938,47.27927399
468.9299927,106.2827835,91.42649078,60.86202621,74.70957947,71.65223694,72.98712921,50.80649185,50.46816635,36.69485092,56.46300507,55.19719315,57.11372757,43.51933289,47.5258255
470,106.9579468,93.59396362,60.99061966,76.06797791,71.60549927,73.18415833,50.96545029,51.06407547,37.41485214,56.19493484,56.16488647,57.07128906,43.85957336,47.97931671
471.0599976,109.7165985,94.80517578,61.43441391,76.496521,73.7859726,73.72428131,51.08617401,51.31384277,37.83428192,56.12786484,57.40901947,57.57686615,44.15999222,47.86336136
471.9599915,110.1801758,95.55930328,61.65568161,76.63782501,73.5843811,75.15077209,51.97110367,51.59819031,37.86054611,56.9281311,57.46628189,57.64250565,44.44704819,48.61151886
473.0299988,110.8984985,96.09168243,62.8214035,76.91675568,74.33599091,75.11790466,52.26966095,52.55542755,38.17913818,57.40862274,56.84963989,58.47107315,44.2400589,49.25477219
473.9299927,112.2116241,97.59348297,63.41289139,77.3421402,74.48274994,75.82315826,52.70510101,52.53498077,38.3531189,57.23874664,57.13809586,57.50843811,45.48542023,49.05093384
475,114.6634521,98.20798492,63.61878586,78.24563599,76.06759644,76.24449158,52.50167084,52.73212433,38.86174011,58.2660408,55.18225861,58.85212708,45.36299515,49.48138809
476.0599976,116.4851685,99.6940918,65.16184235,78.16890717,75.65055084,77.43842316,52.88054276,52.58722305,38.71442032,57.87663651,54.05965042,59.04944229,45.15445328,49.80239105
476.9599915,117.594017,99.9447403,64.61754608,79.71038055,76.14928436,76.5151062,52.99507141,52.90786362,39.36764908,57.77614975,54.0092926,58.78921127,45.46827698,50.03056717
478.0299988,119.6365585,101.593338,65.8627243,80.07001495,77.30896759,77.10808563,52.98793793,52.78007126,39.34360504,58.23501587,53.56742477,59.25334549,45.89113235,50.76330566
478.9299927,121.8406982,102.239296,66.09073639,80.93827057,76.88772583,78.87825775,54.01844406,53.11623764,39.29666901,58.22876358,54.13970184,59.82595062,46.1639595,50.17790222
480,123.2769547,103.3886414,67.91561127,81.64575195,78.10190582,77.98745728,54.586689,53.84300613,39.9668045,58.32702637,54.54891586,59.44850922,46.03714752,50.39227676
481.0400085,125.8224411,104.7702026,67.71871185,82.45663452,79.04322815,79.08647156,54.68155289,54.24853516,39.74924469,58.53191757,54.62826157,59.861866,46.51452255,50.39861679
481.9400024,127.1483765,106.7534637,68.69967651,82.90609741,78.61811829,78.83082581,54.78572845,54.24969482,39.83287811,59.4785614,55.0227623,59.14230347,45.973423,50.41576004
482.980011,130.5895844,107.3593063,69.71317291,82.95275879,79.83707428,79.15428925,55.64382553,54.40563202,40.16722107,58.65319824,54.33572769,59.03767395,46.70492172,51.38533401
484.019989,132.26297,110.0874023,70.27600098,84.10758209,80.54083252,81.17073822,55.15457535,54.23301315,40.06361008,59.58238602,54.45026398,60.77494049,46.95643616,50.91721344
485.0700073,136.3773346,111.1174088,72.21586609,85.19308472,80.84348297,81.33355713,55.68512344,55.23818588,40.22351837,58.68416977,55.44647217,59.89167786,47.7572403,51.39035797
485.9700012,137.8721313,112.1064224,72.40506744,86.41053009,81.99940491,80.98371124,55.78994751,55.21768951,39.86922455,59.68344498,54.65632629,59.87661362,47.60345078,50.86171722
