Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,570 s reaction,600 s reaction
350,60.8551445,51.03720093,88.39234161,109.9820709,126.1933746,139.9912109,155.1225433,162.9187317,161.3964691,229.1325073,198.3453979,196.9681396,223.8403473,91.91853333,185.9947815
351.0700073,63.37038422,52.45199585,90.27092743,112.751152,128.303299,142.0615234,158.5037079,163.7626801,163.2618103,231.9964447,202.6616364,201.1608429,224.6000824,97.1989212,191.8292084
352,63.40505219,53.32263565,91.57048035,113.2415161,130.3979492,144.8487701,160.4678497,166.6945648,164.2714996,232.090271,202.2584991,202.7309265,226.8865051,98.59411621,192.317215
353.0700073,64.50823975,53.66230774,93.09412384,114.9714508,130.7732086,145.6651917,160.8679657,167.6478729,164.6888275,233.0804138,204.1714172,204.5119629,228.4053955,102.3738937,197.2123108
354,64.54602051,54.01317215,93.48054504,115.243454,131.7058563,148.1968536,162.3656464,169.7984619,166.0886078,237.6845856,207.2057953,206.8762817,229.4439392,103.3775482,197.8739471
355.0700073,66.87185669,54.32184601,97.23996735,117.8318863,131.4667969,149.9881592,163.1212006,171.1875153,166.8947296,239.5709381,210.0914612,210.166748,230.8365479,106.5082779,199.9345398
356,66.62580109,55.51915359,96.33461761,116.9294357,133.8339691,150.8751221,165.1669769,172.9758148,165.6234589,237.9491119,208.9977875,211.0943909,232.2347565,108.5089035,202.2549744
357.0700073,66.7565918,55.80955505,96.84796906,115.2866974,135.0089417,152.4104462,163.9919891,172.6228333,165.7584381,238.0868225,208.9730835,212.6652222,230.4741974,111.9975815,203.8788605
358,66.42157745,55.11832809,97.77619934,118.1544952,135.9680939,153.1478424,165.3837738,173.9070435,165.543808,237.5595551,210.6708374,214.1475983,232.5208435,113.4532242,206.5732574
359.0700073,66.54668427,55.66108704,99.12319946,118.1577682,136.4893036,154.6783142,165.8571777,176.4792023,166.7171021,239.5544128,213.8802948,218.7156372,234.9728699,116.2585678,208.3741455
360,66.93585205,56.27024078,99.23269653,117.3982162,136.783493,154.7155609,167.0485535,177.2864685,164.8607483,239.7638397,213.1562195,217.6076813,235.6049042,117.251503,211.4272308
361.0700073,66.81255341,56.6595459,98.1676712,118.2462692,137.0990448,155.2693634,168.5420227,175.9280548,165.0444183,238.2289581,213.0372009,219.4225464,234.8090515,120.094368,210.3083954
362,65.80403137,56.88854599,99.10506439,118.0871124,136.7807159,155.6362915,165.0357361,176.8503113,163.5812073,236.898468,211.3721924,216.775116,234.4553528,120.4054794,210.3864288
363.0700073,65.52203369,56.73286057,97.66130829,116.785614,135.8789368,155.4905548,164.0935364,175.8528442,161.4205017,235.7785339,209.0810852,219.0124054,232.1589813,120.7086945,208.2418823
364,65.04306793,55.71472549,98.48353577,116.5491943,135.0279236,153.7883301,162.0922546,173.3523865,159.9638214,231.8112183,207.5895996,215.5558014,228.846344,122.1586151,209.2632751
365.0700073,65.18003082,56.24209213,98.82456207,115.6045609,134.865509,155.0197449,162.0467377,174.8035278,159.3914032,231.1789703,209.1286621,215.1334381,230.3533783,123.9454803,210.2852936
366,65.67211914,56.46019363,97.95726776,116.3434601,134.8909607,155.9156342,163.7346649,177.6279755,158.6655731,232.2689667,208.8136902,218.4403839,229.6659088,127.2203903,212.4194794
367.0700073,66.49732971,56.31118011,99.99878693,117.5743942,137.102478,157.192749,164.9774475,177.7766724,159.4695435,234.8192902,210.7248077,221.8152313,230.8090515,130.0612183,213.1190033
368,67.28781128,56.28503418,101.4545822,119.0119171,137.6606293,159.3570557,166.1556702,179.1426544,160.7410736,233.9081726,211.6603088,222.9477692,231.0542603,133.0559998,215.6991272
369.0700073,68.54787445,56.87023544,101.9376068,117.8418274,139.2363434,160.172226,166.5580597,179.2176056,159.3750763,233.6068573,212.1845245,226.2493286,232.7059784,135.1344452,218.4178009
370,69.42915344,57.49578857,102.7042618,120.0016327,140.8184662,164.3200836,168.9333801,183.2127838,161.9038544,236.0460968,214.2508698,231.6471405,234.2294006,141.3679352,222.4505157
371.0700073,70.19348907,58.29974747,103.9003296,119.8878021,140.7388458,163.7935638,169.7937622,184.5518646,162.5567017,236.1141663,215.6361389,231.8191528,234.4338989,144.1450043,223.2167816
372,70.40293884,58.05437088,104.9415436,121.4203339,142.4104156,166.2646332,168.0862274,184.6993561,161.21875,236.8188171,215.3107452,233.5932465,235.3301239,146.2041321,225.9128723
373.0700073,71.43126678,58.11450195,104.9739151,121.9782333,143.0643463,165.2135773,169.3302765,188.0269318,162.1810455,235.2657013,217.4147339,235.9171143,234.3771667,149.7452393,228.4776306
374,72.54447937,59.16712952,107.3400879,124.5365295,144.8349762,168.6712799,171.6818237,187.6528931,162.0838776,238.3620911,218.6882324,239.5777893,235.3127899,151.79216,230.3246155
375.0700073,73.05093384,59.54273605,109.4695129,123.0348282,145.963623,170.65242,172.7024078,190.3921204,163.1429749,238.5571899,220.9299622,241.4806061,237.8641968,155.9283447,234.3742828
376,73.5953598,59.82017517,110.7296219,125.0363617,148.471817,171.4618378,174.6825714,192.4464874,163.4489136,240.3764648,222.7582092,243.5996857,237.8427429,158.3542023,234.3827057
377.0700073,73.26273346,60.79364777,111.616745,126.0301056,146.7017212,173.5258484,175.5104218,193.0574646,163.119278,238.8169708,220.5082397,243.9986725,238.8034058,159.8100586,236.406311
378,73.36824799,61.34271622,110.7573166,125.3334427,147.974823,173.2342072,173.0355377,191.9337311,160.9100037,235.7862854,219.686615,244.084549,237.3230286,161.4830322,237.3185425
