Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,570 s,600 s
599.9901733,-0.00400519,0.003046906,-0.002575715,0.001015839,0.001470012,0.009146253,0.005267119,0.001166278,0.000972174,0.008526591,0.062083121,0.002410318,0.002465219,0.009257381,0.015363723,0.007312842
598.9869385,-0.003889962,0.003046307,-0.002514569,0.001083565,0.00167333,0.009217585,0.005245948,0.001236857,0.001002659,0.00850006,0.061236497,0.002515648,0.002530984,0.009305987,0.015724791,0.007383953
597.9835815,-0.003986928,0.003180709,-0.002535312,0.001218452,0.001682088,0.009233925,0.005323876,0.001357145,0.001127476,0.008578573,0.063326016,0.002599389,0.002718519,0.009380732,0.01583614,0.007572358
597.0170898,-0.003870771,0.00328161,-0.002279222,0.001390722,0.001892213,0.009580378,0.005807133,0.001531652,0.001198957,0.008622483,0.063056707,0.002734825,0.002779737,0.009555186,0.016092606,0.00768448
596.0131226,-0.003896786,0.003444994,-0.002232405,0.001471129,0.001950142,0.009691406,0.005838196,0.001478869,0.001209159,0.008648651,0.063587196,0.00271805,0.002743474,0.009603614,0.016220655,0.007663376
595.0088501,-0.003949837,0.003622143,-0.002218601,0.001513858,0.001929029,0.009742126,0.005977061,0.001594289,0.001314042,0.008648097,0.062696576,0.002695935,0.002949526,0.009784353,0.016509321,0.007924973
594.0043945,-0.003567768,0.003795996,-0.001935833,0.001900299,0.002148769,0.009916407,0.006198832,0.001711142,0.001556903,0.008715994,0.063130222,0.002964955,0.003269012,0.00982939,0.016837839,0.008042672
592.9996948,-0.00362933,0.0038961,-0.001980311,0.00203367,0.002259422,0.010098098,0.006167402,0.001842194,0.001610605,0.008796448,0.062833533,0.003001837,0.003223424,0.009841015,0.017145198,0.008162777
591.9946289,-0.003333659,0.004022666,-0.001716777,0.002308683,0.002410188,0.010080426,0.006295578,0.001974195,0.00180003,0.008980974,0.062983379,0.003265152,0.003628695,0.010064504,0.017602116,0.008327005
590.9893799,-0.003419962,0.004165342,-0.001819848,0.00243739,0.002330387,0.010303191,0.00647844,0.001929419,0.001790439,0.008951773,0.062708713,0.003201466,0.0034714,0.01005343,0.017753072,0.008514368
589.9839478,-0.003553339,0.004254473,-0.001472896,0.002543925,0.002595769,0.010551318,0.006645266,0.002012995,0.001952145,0.009114767,0.063387416,0.003238524,0.003677328,0.010223331,0.018022574,0.008724762
