Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s ,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
480,25.72537994,27.10832405,18.1940937,19.0115757,12.69755459,10.14550877,12.09388256,11.01261902,10.44478035,9.693442345,9.324215889,8.891383171,8.336294174,8.073478699,7.859617233,7.38972044,6.776202202,6.121986866
481.0400085,28.2097683,28.80978012,19.272789,20.42636681,13.32333851,10.72589397,12.9118433,11.5680666,10.79034328,10.11729717,9.727748871,9.242981911,8.632670403,8.303592682,7.912755013,7.868750095,6.628553391,6.238515377
481.9400024,30.11568832,30.15673828,20.16379166,20.94954872,14.14904022,11.21146297,13.43383408,12.14629745,11.08605385,10.56728745,10.04322052,9.919837952,8.984836578,8.459728241,8.308363914,8.117537498,7.189628601,6.31356144
482.980011,32.12876892,32.14489365,21.10290146,22.00044632,15.06161118,11.81151104,14.24501419,12.67127323,11.85684967,11.30755806,10.4169426,10.28970146,9.299733162,9.044942856,8.787502289,8.501102448,7.333014488,6.599378586
484.019989,34.56307983,34.33235168,23.22177315,23.40303612,15.96602631,12.62012386,14.72475147,13.34247494,12.58374977,11.67353153,11.14376831,10.86675549,10.06077576,9.657357216,9.397704124,8.787911415,7.552218914,7.035067558
485.0700073,36.38734436,36.16901398,24.10998726,24.5690918,16.42282104,13.13511372,15.53280163,14.26986599,13.14564896,12.17311668,11.61199093,11.28682327,10.37216759,9.753118515,9.791385651,9.223305702,7.885801792,7.480427742
485.9700012,38.04263687,37.32177734,24.91599846,25.50329208,17.16970062,13.73735905,16.38511276,14.4150095,13.44768143,12.76938248,11.90169334,11.41756058,10.64010048,10.05612659,9.904560089,9.783437729,8.192164421,8.098000526
487.0100098,40.23806763,39.08133698,25.72379684,26.48650742,17.70370674,14.04092503,16.58637238,15.0793438,13.93853378,12.99895573,12.32598877,12.20690346,10.91486073,10.76682091,10.2497654,10.07020283,8.573000908,7.980781555
488.0499878,43.32785797,41.66511536,27.23175621,28.21417427,18.72676086,14.81642151,16.99816322,16.33778,14.65918922,13.37290287,12.8541069,12.15237045,11.30640602,11.23015976,10.49303913,10.36433029,8.787314415,8.209625244
488.9500122,46.13899994,42.88966751,28.44439697,29.04602242,19.18006325,15.28680897,17.67279816,16.234375,14.80235195,13.57849789,13.21029186,12.69308186,11.97993279,11.27531433,11.22228241,10.80446148,8.919994354,8.484152794
