Wavelength (nm),30 s reaction,60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,450 s reaction,480 s reaction,570 s reaction,600 s reaction
800.0125122,-0.005009852,-0.000957243,0.007494368,-0.001933462,-0.001684546,-0.003421863,0.02050096,0.013315153,0.001093427,0.001161891,-0.001106354,-0.001874287,-0.000605568,0.007423134,-0.005886263,0.000827482,0.012367983,0.008462709
799.0029297,-0.0046407,-0.001206214,0.007626439,-0.002161423,-0.001825416,-0.003608896,0.020607078,0.01328235,0.000996561,0.000851966,-0.001371755,-0.002231375,-0.000657058,0.007284306,-0.006310539,0.000594567,0.012206187,0.008472554
797.9928589,-0.004428489,-0.000685334,0.007626887,-0.00192774,-0.001727967,-0.003404244,0.020629583,0.013244559,0.001022118,0.001153041,-0.000724151,-0.00210872,-0.000529097,0.007447149,-0.006021028,0.000523782,0.012676831,0.008806222
797.0174561,-0.004687463,-0.001056105,0.007434246,-0.002075539,-0.001680678,-0.003596111,0.020934938,0.013100309,0.000891236,0.001255081,-0.001334647,-0.002347919,-0.000467094,0.007385296,-0.006350796,0.000707911,0.012738617,0.008595049
796.0066528,-0.004860744,-0.00101303,0.007554235,-0.002018807,-0.001501893,-0.003455763,0.020797074,0.013044742,0.000787881,0.00068398,-0.001052748,-0.002188056,-0.000462957,0.007166523,-0.006190205,0.000526011,0.012426129,0.008514685
794.9954834,-0.004705542,-0.00115164,0.007962173,-0.001835108,-0.001921968,-0.003681592,0.020997338,0.013493065,0.000821647,0.001319521,-0.001543526,-0.002193155,-0.000272183,0.007619406,-0.006405436,0.000700469,0.01248684,0.00861406
793.9838867,-0.004302608,-0.000857997,0.007982395,-0.002022105,-0.001282101,-0.003465932,0.020941865,0.013627801,0.001202332,0.001413861,-0.000369184,-0.002301058,-2.52E-05,0.007729617,-0.006195565,0.000770765,0.012563093,0.00880638
793.0068359,-0.004527691,-0.00058587,0.007870459,-0.00212531,-0.001485537,-0.003698892,0.020702854,0.013262279,0.001205213,0.001141413,-0.001233577,-0.001886607,-8.27E-05,0.007376238,-0.006050386,0.000778726,0.012509405,0.008618575
791.9944458,-0.004824957,-0.000805032,0.007954395,-0.001768908,-0.00176071,-0.003535314,0.020627301,0.013336107,0.00115003,0.000944181,-0.001291651,-0.002198873,-0.000118127,0.00746316,-0.006166676,0.000884258,0.012743815,0.008502251
791.0166016,-0.005354604,-0.00114121,0.008140937,-0.002290707,-0.001918617,-0.003539474,0.020823387,0.013065122,0.001035663,0.001142737,-0.001233783,-0.00224729,-0.000325782,0.006953647,-0.006270636,0.000816719,0.012396003,0.008371048
790.003418,-0.004643569,-0.001217159,0.007849319,-0.001904906,-0.002038182,-0.003324565,0.020490268,0.013449541,0.000998456,0.001214766,-0.000889824,-0.002299152,-0.000492848,0.007093526,-0.006146667,0.000738922,0.01280729,0.008504495
788.9899292,-0.004240578,-0.000566119,0.008090958,-0.001755812,-0.001715384,-0.0031794,0.021175709,0.013918008,0.001303345,0.001705996,-0.000886931,-0.002088421,-0.000118335,0.007558739,-0.005804126,0.001072744,0.013139636,0.009088783
788.0109253,-0.004762284,-0.000552831,0.008246612,-0.001595988,-0.001336608,-0.003407172,0.021201774,0.013727418,0.001646982,0.001474506,-0.000947376,-0.002186562,-0.000270114,0.007329164,-0.006241548,0.001345149,0.01318625,0.008913855
786.996521,-0.004590142,-0.000417702,0.007812208,-0.001325924,-0.001563181,-0.003337101,0.020942871,0.013521664,0.001527236,0.001282652,-0.001162431,-0.001732505,-0.00011792,0.007365075,-0.005872472,0.000963975,0.012944641,0.008719982
786.0168457,-0.004946028,-0.000801156,0.007673494,-0.001545796,-0.001857791,-0.003593338,0.020949552,0.013440222,0.000809561,0.001228757,-0.00120575,-0.001908824,-0.000517411,0.007049982,-0.005860571,0.000957775,0.012826806,0.008328035
785.001709,-0.004841852,-0.00070694,0.007538642,-0.001229653,-0.001285612,-0.003566946,0.020800088,0.013620429,0.001379633,0.001076299,-0.001076143,-0.00215452,-5.40E-05,0.006869167,-0.006075812,0.000477159,0.012914905,0.008490768
783.986145,-0.004283539,-0.00050438,0.008091063,-0.001191139,-0.001196302,-0.003400031,0.021161059,0.013998015,0.001551318,0.001480558,-0.000697119,-0.002080847,-0.000434305,0.007555394,-0.00588708,0.001207056,0.013353965,0.008663175
783.0053101,-0.00472823,-0.000301519,0.008037793,-0.001176734,-0.001630341,-0.00300447,0.020929804,0.013468098,0.001549967,0.001665587,-0.000737848,-0.001774116,-0.000340422,0.007284174,-0.005966187,0.001104274,0.013073765,0.008805958
781.9890137,-0.004813283,-0.000840067,0.0077746,-0.001060185,-0.001663762,-0.003601913,0.021334982,0.013783261,0.001152963,0.001206381,-0.001034568,-0.002323768,-0.000106792,0.007272381,-0.006095517,0.001040982,0.012997502,0.008451597
781.0073853,-0.004582714,-0.000480902,0.008126114,-0.000636949,-0.00084234,-0.003183358,0.021182558,0.014274264,0.001340267,0.001526925,-0.000835933,-0.00186707,4.42E-05,0.007147865,-0.005605924,0.001424535,0.013323802,0.009106493
779.9902954,-0.004786146,-0.000855361,0.007651942,-0.0012105,-0.001858771,-0.003544763,0.02070622,0.013575424,0.00106963,0.001102562,-0.0013012,-0.002043284,-0.000245485,0.00665026,-0.006019956,0.001061741,0.012986513,0.008407678
779.0078735,-0.004552385,-0.000495227,0.007805778,-0.000824255,-0.001409892,-0.003688779,0.021563677,0.013653178,0.001182656,0.001552383,-0.000986429,-0.001625286,-0.000255005,0.007359309,-0.005423941,0.00159525,0.013299111,0.008629243
777.9899902,-0.004415676,-0.000585301,0.008196488,-0.000669154,-0.001593667,-0.003175289,0.020735679,0.013695332,0.001406693,0.001531185,-0.001053316,-0.002219734,8.77E-05,0.007215185,-0.005507837,0.001295738,0.013081315,0.008462207
777.006897,-0.004891461,-0.000689779,0.007900378,-0.001260576,-0.001738486,-0.003579578,0.02079854,0.013460275,0.001166382,0.001290675,-0.001062457,-0.00195784,-0.000615649,0.007178734,-0.005754776,0.001189561,0.013195696,0.008817106
775.9882813,-0.004553769,-0.00061172,0.008129069,-0.001192016,-0.001512521,-0.003602581,0.021197859,0.013735915,0.001215674,0.001697264,-0.000712212,-0.001754729,8.69E-05,0.007035696,-0.00552767,0.001205291,0.013157993,0.00876895
775.0043945,-0.004670613,-0.000570618,0.008497024,-0.000955796,-0.001483577,-0.003298568,0.021487949,0.013896171,0.001603434,0.001772998,-0.000684248,-0.00191104,-7.81E-05,0.007632104,-0.005851734,0.001365221,0.013439822,0.008746921
773.9850464,-0.004690434,-0.000722394,0.008250991,-0.000871431,-0.001816755,-0.003145427,0.021342486,0.013734953,0.001071706,0.001564697,-0.00085903,-0.001719303,-0.000574961,0.007604495,-0.005713697,0.001413263,0.013378124,0.008914146
773.0003662,-0.004738676,-0.000689572,0.008131336,-0.000650441,-0.001394153,-0.003673019,0.021474676,0.014137508,0.00169703,0.001636276,-0.00060836,-0.001902948,-0.000193015,0.007610159,-0.005399552,0.001521028,0.013686596,0.008983484
772.0153809,-0.004497461,-0.000251953,0.008280382,-0.000540887,-0.001129591,-0.003234132,0.021209031,0.013980211,0.001573998,0.001961506,-0.000448889,-0.001711414,-0.000162482,0.007151417,-0.005139518,0.001587378,0.013632716,0.008731022
770.994812,-0.004719114,-0.000551177,0.008217829,-0.000461405,-0.001319627,-0.003300931,0.021357277,0.013825589,0.001434092,0.00196187,-0.000688538,-0.001627452,7.51E-05,0.007546912,-0.005571833,0.001895385,0.013396384,0.008997913
770.0090942,-0.004355507,-0.000373736,0.008458037,-0.000329921,-0.001130572,-0.002941482,0.021970727,0.014305938,0.001941094,0.002156625,-0.000141935,-0.001388424,0.000652039,0.007925896,-0.005166787,0.002077105,0.014215951,0.009469564
768.9877319,-0.004161104,-0.000465853,0.008126167,-0.000741,-0.001197283,-0.002902554,0.022185536,0.014599623,0.001918265,0.001986912,-0.000350355,-0.001280863,0.000198694,0.007815582,-0.005243877,0.00183728,0.013953719,0.008923446
768.0013428,-0.004661393,-0.000839653,0.008183088,-0.000295879,-0.001190468,-0.002997118,0.022138953,0.014219053,0.00163308,0.002384575,-0.000375547,-0.001106767,0.000304163,0.007883243,-0.005304947,0.00165301,0.014033946,0.008925904
767.0144653,-0.004243603,-0.000102082,0.008220864,-0.000349165,-0.001147716,-0.003023956,0.021919129,0.014416521,0.001862705,0.002256273,-0.000171797,-0.001292064,0.00045705,0.007751831,-0.00506118,0.001622869,0.013824413,0.009136127
765.9920044,-0.004452369,-0.000487832,0.00838002,-0.000335249,-0.001232699,-0.003241737,0.02217325,0.014305965,0.001890965,0.002582853,-0.000303743,-0.001304194,0.000184658,0.007820589,-0.005211907,0.001692976,0.014088786,0.00876755
765.0044556,-0.004110745,-0.000270269,0.008077244,-0.000145662,-0.001151227,-0.003120807,0.022115337,0.014653543,0.002228484,0.002553949,0.000177536,-0.001269868,0.000731376,0.007916537,-0.004711995,0.002096743,0.014183668,0.008801969
