Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
800.0072632,-0.005009852,0.007714703,0.001161891,0.008062292,0.008462709,0.009368935
798.9976196,-0.0046407,0.007412733,0.000851966,0.008028986,0.008472554,0.009290067
797.9876099,-0.004428489,0.007718523,0.001153041,0.007782375,0.008806222,0.009479247
797.012085,-0.004687463,0.007565799,0.001255081,0.007847632,0.008595049,0.00948729
796.0013428,-0.004860744,0.007599148,0.00068398,0.007682057,0.008514685,0.00952203
794.9901123,-0.004705542,0.007336693,0.001319521,0.007867533,0.00861406,0.00939975
794.0134277,-0.004302608,0.007651599,0.001413861,0.008142757,0.00880638,0.00994178
793.0014038,-0.004527691,0.007512409,0.001141413,0.008003225,0.008618575,0.009351186
791.9890747,-0.004824957,0.007424529,0.000944181,0.007912161,0.008502251,0.009494963
791.0111084,-0.005354604,0.007193446,0.001142737,0.007743557,0.008371048,0.00936055
789.9980469,-0.004643569,0.007177549,0.001214766,0.008100214,0.008504495,0.009752133
788.984375,-0.004240578,0.007612688,0.001705996,0.008346691,0.009088783,0.010496393
788.0054932,-0.004762284,0.0076193,0.001474506,0.008073262,0.008913855,0.009726427
786.9910278,-0.004590142,0.007733623,0.001282652,0.008200075,0.008719982,0.009788933
786.0112915,-0.004946028,0.007387823,0.001228757,0.008081332,0.008328035,0.009401443
784.9962158,-0.004841852,0.00766962,0.001076299,0.008165969,0.008490768,0.009745567
784.015686,-0.004283539,0.007915905,0.001480558,0.008352786,0.008663175,0.010226379
782.9998169,-0.00472823,0.007787777,0.001665587,0.00822395,0.008805958,0.010017375
781.9833984,-0.004813283,0.007679922,0.001206381,0.008483957,0.008451597,0.00987814
781.0018311,-0.004582714,0.007963491,0.001526925,0.008546892,0.009106493,0.009794255
779.9847412,-0.004786146,0.007474379,0.001102562,0.007848054,0.008407678,0.009470569
779.0023193,-0.004552385,0.007791836,0.001552383,0.008607432,0.008629243,0.010143274
777.984436,-0.004415676,0.007920333,0.001531185,0.008374293,0.008462207,0.010131562
777.0012817,-0.004891461,0.007414154,0.001290675,0.008450857,0.008817106,0.009508615
775.982666,-0.004553769,0.007552892,0.001697264,0.008618047,0.00876895,0.010060715
774.9987793,-0.004670613,0.007792943,0.001772998,0.008397914,0.008746921,0.010245329
774.0145874,-0.004690434,0.007795815,0.001564697,0.008771618,0.008914146,0.009917944
772.994751,-0.004738676,0.007801956,0.001636276,0.008758332,0.008983484,0.010161637
772.0097046,-0.004497461,0.007925052,0.001961506,0.008942154,0.008731022,0.010516893
770.9891968,-0.004719114,0.007740026,0.00196187,0.00880852,0.008997913,0.010499973
770.003479,-0.004355507,0.008458802,0.002156625,0.009384435,0.009469564,0.01043999
769.0172729,-0.004161104,0.007992414,0.001986912,0.009238632,0.008923446,0.010400351
767.9956665,-0.004661393,0.008009737,0.002384575,0.009218378,0.008925904,0.010409896
767.008728,-0.004243603,0.007827232,0.002256273,0.009189823,0.009136127,0.010358144
765.9862671,-0.004452369,0.007666011,0.002582853,0.009291468,0.00876755,0.010407457
764.9987793,-0.004110745,0.008129728,0.002553949,0.009671448,0.008801969,0.01087305
764.0107422,-0.004468254,0.007829024,0.002276284,0.009383827,0.009795631,0.010462052
762.9871826,-0.00442854,0.008173671,0.002124082,0.009451785,0.009452103,0.010432063
761.9985352,-0.004671228,0.007678526,0.001855842,0.009213169,0.009036103,0.01035984
761.0094604,-0.004442735,0.008070994,0.002300251,0.009672984,0.009302707,0.010619804
759.9846802,-0.004378674,0.008069465,0.002090917,0.00951179,0.00925746,0.010454256
758.9949341,-0.004488392,0.008257507,0.002270949,0.009599882,0.009263515,0.010730568
758.0048218,-0.004325727,0.00793362,0.001705632,0.009163648,0.008850471,0.010257918
757.0144043,-0.004633632,0.007623462,0.001757429,0.009538092,0.009016545,0.010588027
755.9881592,-0.004477785,0.00764085,0.00210837,0.009488665,0.009085293,0.010272708
754.9968872,-0.004780923,0.00790905,0.001796755,0.009470516,0.009013533,0.010176662
754.0053711,-0.004566832,0.007458341,0.001775831,0.008939829,0.008527198,0.010095475
753.0133667,-0.004461336,0.008158952,0.001933995,0.009431494,0.009031531,0.010169587
751.9857178,-0.004453445,0.008043252,0.001934047,0.009229933,0.008830341,0.010448158
750.993042,-0.004259188,0.008102034,0.001876432,0.009114714,0.008797373,0.010471307
750.000061,-0.004900317,0.007480199,0.001437702,0.008842413,0.00866505,0.010142956
749.0067139,-0.004233041,0.008003251,0.001800914,0.009379462,0.008974102,0.010600573
748.0130005,-0.004408194,0.007919068,0.001401187,0.009343913,0.00884804,0.010261152
746.9833984,-0.00437483,0.008075135,0.001500117,0.0095115,0.008774312,0.010395181
745.9890137,-0.00442813,0.007904991,0.00181061,0.009043161,0.008895729,0.010285961
744.9942627,-0.00455633,0.007759843,0.001433832,0.009105858,0.008600356,0.010051231
743.9990845,-0.004511398,0.007969739,0.001504923,0.009363724,0.008490266,0.010326041
743.0036011,-0.004518622,0.008071812,0.001361637,0.009193683,0.008693994,0.010312786
742.0078125,-0.00414613,0.007959615,0.001378984,0.009194027,0.008769795,0.010324238
741.0115967,-0.004550336,0.007885141,0.001132226,0.009037213,0.008630378,0.010333966
740.0151367,-0.004401224,0.008158768,0.001230445,0.009146966,0.008695314,0.010436809
738.982605,-0.004012987,0.008163805,0.001340111,0.009351795,0.008858133,0.010425168
737.9853516,-0.004486342,0.007927504,0.00141116,0.009174488,0.008722094,0.010182201
736.9877319,-0.004337362,0.007943111,0.001383269,0.009247809,0.008683641,0.010430763
735.9898071,-0.004486496,0.0080013,0.001669069,0.009175149,0.008394773,0.01039017
734.9915161,-0.004409886,0.008062344,0.001542407,0.009349573,0.008474904,0.01022251
733.9928589,-0.004521543,0.007893207,0.001477103,0.009374807,0.008507927,0.010161744
732.9938965,-0.004486393,0.007915772,0.00133079,0.00926222,0.008626364,0.010309208
731.9946289,-0.004437303,0.007864238,0.001354834,0.009304823,0.008488181,0.010149527
730.994873,-0.004413934,0.007976515,0.001553968,0.009459193,0.008499506,0.010307962
729.994873,-0.004554435,0.007849793,0.0013183,0.009345738,0.008603947,0.010392398
728.9945068,-0.004448013,0.007859256,0.001292466,0.009443029,0.008780017,0.010298101
727.9937744,-0.004305992,0.008045678,0.00166634,0.009664037,0.008897315,0.010370339
726.9927368,-0.004399687,0.008140146,0.00134559,0.009531397,0.008697691,0.01038097
725.991394,-0.004365963,0.008181057,0.001641161,0.009610415,0.008505128,0.010562219
724.989624,-0.004431871,0.008168527,0.001567918,0.009608933,0.008589399,0.010750654
723.9875488,-0.004756292,0.008011742,0.001434482,0.009480543,0.008371153,0.010463908
722.9851074,-0.004960155,0.007674284,0.001090105,0.009263463,0.007947567,0.010077883
721.9823608,-0.00462979,0.007810073,0.001126412,0.009194529,0.00804465,0.010306584
721.0150757,-0.004780052,0.007833452,0.000972018,0.009255213,0.007814317,0.010094707
720.0116577,-0.004865096,0.007836219,0.001249811,0.009434431,0.00779434,0.010273927
719.0078735,-0.004834019,0.007759236,0.001130253,0.009244397,0.007747141,0.010035521
718.0037842,-0.004719831,0.007667039,0.001332192,0.009174091,0.007836298,0.010137101
716.9993286,-0.004959234,0.007788963,0.001226239,0.009117278,0.007705928,0.010133496
715.9945679,-0.00492243,0.007805356,0.001049519,0.009279832,0.008073183,0.010070915
714.9894409,-0.004760799,0.007730882,0.001023182,0.009242652,0.008072049,0.010195849
713.9839478,-0.004954525,0.007772729,0.001097319,0.009267377,0.008066063,0.010170727
713.0140381,-0.004927959,0.00767265,0.000996561,0.009188553,0.007979468,0.010029216
712.0079346,-0.004912193,0.007843626,0.001259832,0.009468982,0.008194641,0.010433017
