Wavelength (nm),30 s,60 s,90 s ,120 s ,150 s,180 s ,210 s ,240 s,270 s ,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
450,31.78025436,31.32736969,31.41827583,21.95926094,29.66052437,30.60303307,25.77819061,23.63617897,24.10420799,21.79255676,24.35816002,23.35793114,23.62167168,25.02793312,22.06347847,27.18630409,23.01025963,25.39131165
451.0599976,34.19438171,33.59605026,33.77064133,23.35544395,32.35356903,33.07561493,27.86591721,25.10608864,25.99524117,23.55360413,26.52112579,25.09370804,25.18455887,26.95625877,23.86725807,29.31233597,24.15558815,27.08636475
451.9599915,36.36392975,35.88626862,36.29413223,24.75775719,34.19306183,35.20553207,29.12268829,26.37370872,27.49133682,25.06137466,27.45330238,26.34736061,26.91782188,28.2542038,25.199543,30.96463203,25.40057755,28.3248806
453.0299988,38.73483276,38.84631729,39.32253647,26.86080551,37.23273087,37.64521027,31.49395752,28.51020622,29.24133682,26.78092384,29.61975288,28.36310387,28.63836098,30.23552895,26.71560097,32.68043137,27.38431549,30.18279839
453.9299927,41.0340004,41.36211777,41.69220352,28.21442986,39.09978867,39.90140152,32.6896286,30.20339394,30.94113159,28.21289635,30.87354279,29.66971397,30.49089432,32.15125656,28.03050613,34.48553848,28.12057877,31.78045082
455,43.48800278,44.5646286,45.11091232,30.92876816,41.9363327,42.40515518,35.62031937,31.99507713,32.90147781,30.04935646,33.2732048,31.92974663,31.8278141,33.46923065,30.02626228,36.81774902,30.29536057,33.92028427
456.0599976,46.15219879,47.81326675,48.65557098,32.56982803,44.68661499,45.41916656,37.87500381,33.89587402,35.06484604,31.85496902,35.11618042,33.78242111,34.05721664,35.01901245,32.3113327,38.85041809,31.99764633,35.90422058
456.9599915,48.06253433,50.24757385,51.27264023,34.31278229,47.10069275,46.67273331,40.02488327,35.87919617,36.87623978,33.05633926,37.1916008,35.17696762,35.41098404,36.70324326,33.23963547,40.59541321,33.25012207,37.0370369
458.0299988,50.36744308,53.75939178,54.2071228,36.6042099,49.68380737,49.96140289,42.22881317,37.39441299,38.94554138,35.46343231,38.92610168,37.14466476,36.89829636,38.73054504,34.80846405,42.56324768,34.45295715,39.07695389
458.9299927,51.88666534,55.7172699,57.43146133,38.95473862,52.07880402,52.14975739,44.48503494,39.52423096,40.63463211,36.45132065,40.66387939,38.57461548,38.47816086,40.70917892,36.3587532,44.55746078,36.26905823,40.30362701
