Wavelength (nm),30 s,60 s,90 s ,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
470,57.12213516,33.79403687,25.74542999,19.11887932,14.71428967,11.32047081,9.741083145,8.297608376,6.7064991,6.057091713,5.613601685,4.963746548,4.56496048,4.279625416,4.018509388,3.601077557,3.149091959,3.041457176
471.0599976,61.13381577,35.44438934,27.30389404,19.66996765,15.72889614,12.1334095,10.14123249,8.46137619,7.084003448,6.402071476,6.040441513,5.210665703,4.911434174,4.474870682,4.275906086,3.809216976,3.150821686,3.270965338
471.9599915,64.06189728,37.47846603,28.43063545,20.95605087,16.40541649,12.96138763,10.71663475,9.045500755,7.355212688,6.908068657,6.141140938,5.254730225,5.059371471,4.635357857,4.461951733,3.950720072,3.191656351,3.250790596
473.0299988,69.56797791,39.10039902,29.94903374,21.88750648,17.44206238,13.25765228,11.28562355,9.147548676,7.88995266,7.251703739,6.430053234,5.840980053,5.405467987,5.062131405,4.786206245,4.163100719,3.610172033,3.483125448
473.9299927,72.55593109,40.99241638,30.95271301,22.71152878,18.061306,13.7274189,11.56399059,9.69438839,8.307220459,7.571886063,6.906475067,5.867302418,5.447088242,5.128324986,4.892159462,4.371407986,3.690454245,3.764276028
475,77.02354431,42.90055084,32.82014084,23.68098259,18.82086372,14.56158352,12.38813782,10.46038532,8.542238235,7.692756176,7.186737537,6.156367302,5.751968384,5.493180275,5.207503319,4.657169342,3.840913296,4.063459396
476.0599976,81.09584045,44.8907547,33.87760162,24.75572777,19.51213646,15.09898567,12.78742599,10.81679821,8.782618523,7.976428509,7.579077244,6.4075284,6.251430511,5.674820423,5.532753468,4.904508114,4.024778843,3.93175602
476.9599915,85.36890411,47.09967041,35.23030472,25.81721878,20.48373413,15.60359478,13.19633675,11.26312923,9.305175781,8.547656059,7.863094807,6.622008801,6.407335758,5.887729168,5.731901646,5.025184631,4.200986385,4.293076992
478.0299988,89.66031647,48.27770233,36.37421799,26.98851013,21.21421432,16.62345695,13.78626347,11.45042706,9.746974945,9.001315117,8.109079361,7.110980988,6.478900909,6.270035744,5.994218349,5.232782364,4.551575661,4.363777637
478.9299927,93.37369537,49.45476913,37.49222946,27.4506321,21.71404839,16.81232643,14.31159401,12.0613327,9.96577549,9.116815567,8.49032402,7.095763683,6.865377426,6.285704136,6.098314285,5.464609623,4.457600117,4.624780655
480,97.03817749,51.8924408,38.50743484,28.56427002,22.39325333,17.5865612,14.60705566,12.44919586,10.53600597,9.448177338,8.878326416,7.481090069,7.189962387,6.481615543,6.321299553,5.601928234,4.636974812,4.726500034
481.0400085,102.277832,53.63325882,39.60758209,29.3710289,23.43731499,17.88597679,15.50188923,13.05539989,10.79157639,9.950802803,9.007342339,7.678412914,7.646999836,6.903574944,6.810355663,5.847747326,4.995063305,5.194205284
481.9400024,107.6595917,55.85802078,41.17563248,30.2256546,24.03266907,19.04671669,15.74018764,13.29596996,11.09591198,10.24436474,9.144548416,8.056369781,7.569396019,7.134903431,6.779300213,6.101305962,5.106125355,4.96441412
482.980011,112.1980515,57.62797165,42.51158524,30.9372921,24.76891899,19.69928741,16.23512459,13.62166214,11.40193748,10.41531467,9.649734497,8.27159214,7.789126873,7.515042305,7.196875572,6.43482542,5.322936535,5.248148918
484.019989,118.9196243,60.59383011,43.9757309,32.04718399,25.56408691,19.88240433,16.92499161,14.05090046,11.94587803,10.8819313,10.02907085,8.322266579,8.246110916,7.585944176,7.350568295,6.544896603,5.440932274,5.567469597
485.0700073,123.6017075,63.31817627,45.53045654,33.14670944,26.41871834,20.858675,17.23436737,14.89441395,12.38421154,11.16258717,10.30787277,8.73813343,8.436750412,8.104994774,7.628651619,6.782074928,5.601812363,5.650197506
485.9700012,128.2335663,64.99065399,46.77766418,33.88479233,27.02798653,21.1259613,17.92546272,14.99303055,12.76082134,11.45876694,10.6356039,9.189473152,8.707979202,8.088750839,7.811294556,7.035820007,5.761889458,6.014444351
487.0100098,134.6359253,67.92979431,48.45166779,35.09050751,28.34693146,22.10322762,18.35478401,15.32725525,13.16039467,11.59079075,11.09195423,9.414281845,9.056042671,8.182677269,7.980760098,7.076525211,5.985553265,5.805541515
488.0499878,140.6482849,71.78904724,49.55598068,36.18871689,28.69398117,22.76371002,18.68680954,15.82318211,13.2577343,12.04691792,11.23562336,9.473890305,9.11488533,8.620689392,8.237850189,7.396697044,6.140434265,6.114171505
488.9500122,146.8149414,74.77370453,51.48427582,37.61991119,29.79907036,23.78639984,19.43102455,16.33724785,13.59858608,12.5938797,11.61893272,9.978675842,9.382671356,8.811116219,8.422605515,7.46985054,6.464781761,6.494520664
490,153.2459259,78.94315338,54.37015533,38.28655243,30.56171417,24.08815193,20.18733597,16.83679581,14.31724644,13.268116,11.83852673,9.879505157,9.854024887,8.69580555,8.638624191,7.692492485,6.304628372,6.435090065
491.0599976,159.6225128,82.40753937,56.31510925,40.19707108,32.26208496,25.16162491,20.69218254,17.28802681,14.5606432,13.22195721,12.3452425,10.31785583,10.05063915,9.352018356,9.052265167,8.037220001,6.681567192,6.556634426
491.9599915,165.0714569,86.76003265,58.27248383,41.66199875,33.43328857,26.52843666,21.43029404,17.97966194,15.07786751,13.5009613,12.52148724,10.595438,10.27951908,9.384421349,9.31585598,8.034308434,6.680291176,6.832038879
493.0299988,171.0394897,91.36541748,61.18306732,43.42977524,34.45782089,26.79723358,22.14654732,18.33823586,15.51489353,14.08973598,13.15843964,10.98625755,10.71992683,9.659374237,9.214118004,8.426037788,7.022371292,6.848376274
493.9299927,177.0849609,96.51859283,64.60816956,46.10021591,36.39520645,28.03598976,23.13812637,19.06188965,16.06642342,14.47787762,13.32190132,10.97350788,10.86995506,10.17082977,9.639800072,8.309232712,6.967261314,7.04099369
495,184.1688995,103.5110245,68.2095871,48.20888901,38.14767075,29.51076508,24.30639839,20.32312202,16.81336975,15.39076328,13.7193327,11.47856522,10.87570572,10.33251762,9.770060539,8.745111465,7.362994194,7.268171787
496.0599976,190.1407166,109.3561783,72.19823456,50.65690613,39.85971832,30.83413887,25.80549431,20.89729881,17.48711967,15.80705261,14.37400723,11.77728939,11.40540218,10.57705975,10.18671703,8.999976158,7.400084496,7.302878857
496.9599915,195.5962067,115.401268,75.46201324,53.0186348,41.7631073,31.86065292,26.49761581,21.51613235,17.98889923,16.16601944,14.75305462,12.20384216,11.85662937,10.80784035,10.5561552,9.192028046,7.610087395,7.446305752
498.0299988,202.0841827,122.5428543,80.55306244,56.1035614,43.84095383,33.80889511,27.45601082,22.77429008,18.63143158,16.51952362,15.38379765,12.67520618,12.33858395,11.21052456,10.69423389,9.199151039,7.773231983,7.820036411
498.9299927,208.0390167,129.7885895,84.97777557,58.62406921,46.2451973,35.63616562,29.04666901,23.70366859,19.23747253,17.35104561,16.04706192,12.84374809,12.74487686,11.48676014,10.93873405,9.711884499,7.941720963,8.009318352
500,212.5501404,138.7776794,91.47842407,62.73406601,48.37802124,37.67638779,30.63381767,25.13785172,20.54163742,18.04360008,16.52833176,13.38720226,13.06578159,11.83209515,11.43899536,9.818446159,8.209976196,7.957881451
501.0400085,217.9707336,148.6246338,97.06697083,67.23686981,51.97028351,40.00786209,32.37594986,25.9729538,21.41379738,18.4164257,16.98397636,13.96415043,13.44936275,12.4969759,11.61940575,10.14953804,8.352935791,8.401932716
501.9400024,221.6785736,157.0583344,103.3554459,70.955513,53.96293259,41.18728638,34.05716324,27.61729622,22.35229874,19.43515396,17.62281609,14.4044714,14.0741806,13.17449284,12.0510664,10.59836578,8.726435661,8.241130829
502.980011,222.5186005,166.2423553,110.4451599,74.18344116,57.55825043,44.0310936,35.81112671,29.09552574,23.29053688,20.23984337,18.54820633,14.92032433,14.17470932,13.06414032,12.30714417,10.81415749,9.005191803,8.654051781
504.019989,225.6648865,176.6612396,117.580162,80.16493988,61.43722534,47.02229691,38.20881653,30.58232117,24.27129745,21.08455467,19.63049126,15.24377918,15.10951424,13.2161684,12.88772392,11.16540051,9.00761795,8.857559204
505.0700073,226.6649017,186.528656,125.8132935,85.62272644,65.61658478,50.16215134,40.48318481,32.05635452,25.99991608,22.54009628,20.58651733,15.98192215,15.07017994,13.99395943,13.0968523,11.39853764,9.218362808,9.142727852
505.9700012,225.0261841,196.5577698,133.375061,91.11828613,69.28829193,52.77682114,42.90065002,33.37601089,27.58285904,23.05640411,21.34465981,16.70817947,15.94104099,14.44608498,13.80743217,11.48696423,9.323842049,9.270738602
507.0100098,225.7425385,206.355011,142.7682037,96.45469666,74.64863586,56.14300919,45.51426697,35.9071312,28.84064674,24.76628304,22.43463326,17.40876389,16.56361771,14.96993637,14.06184864,11.85982227,9.64911747,9.512749672
508.0499878,224.1673126,218.1750488,152.1753235,104.8218384,79.4475174,60.67787552,48.56006622,38.10510635,30.38829803,25.9070797,23.17590523,18.26556396,17.26913071,15.47831345,14.64318466,12.46664906,9.878811836,9.713256836
508.9500122,221.63974,227.6199188,161.2524872,110.691452,84.16132355,63.53093719,51.07442856,40.27733612,31.72809601,27.11534309,24.68272972,18.84663391,18.07808876,16.16537476,14.97913742,12.64754963,10.3011713,9.703956604
510,217.5533142,238.0307007,171.588974,117.5981445,89.85025024,67.46672058,54.31777573,42.49263382,34.07870483,28.45780563,25.824049,19.81647873,18.66964531,16.96276665,15.65071201,13.29630947,10.38389492,10.05402565
511.0400085,211.65271,248.5430908,181.9634552,126.0196838,95.28095245,72.13192749,58.60877609,45.48613739,36.23778534,30.4084816,26.77010727,20.89862823,19.72820473,17.34927177,16.4963131,13.57139969,10.89534473,10.24728584
511.9400024,207.7788696,256.0963135,191.621933,133.098999,102.3578491,77.079216,61.76040649,48.37101746,38.06109619,31.71122742,28.76158714,21.91505432,20.3891983,18.092659,17.01947212,13.96357536,11.10277557,10.49917507
512.9799805,200.1993256,265.6037903,202.6697693,142.4361877,109.43573,82.98951721,66.60095215,51.91204071,40.20684433,34.05774689,30.13767052,23.57813072,21.53614235,19.01561928,17.78069687,14.53433228,11.27702141,11.06707096
514.0200195,192.0420074,273.3116455,212.8294067,151.6506653,117.6055527,89.77796936,71.0212326,55.37854385,43.05135345,36.12976456,32.39077377,24.4662323,22.9119091,20.40816307,18.45994759,15.47541332,11.62833023,11.13971615
515.0700073,185.1335907,280.9109497,225.9109039,161.1641388,125.7486801,94.82091522,76.39299774,59.99505615,46.38310623,38.32205963,34.57181931,26.29001045,23.90278625,21.2459507,19.57581711,16.00523758,12.29001331,11.5742836
515.9699707,177.4970551,285.9708252,233.6366425,168.9679413,131.5556641,100.4180679,79.99855042,61.99147415,48.75988388,40.07821274,36.07372284,27.43778801,25.27742004,21.98750877,20.45939636,16.76267242,12.40985394,11.74715519
517.0100098,171.3162994,289.2433777,243.7763062,178.4487915,140.0882111,106.2090912,86.04756927,66.47100067,51.77711105,42.83621597,37.89990616,28.42921066,26.49620819,23.54860115,21.27162743,17.13221931,13.01888466,12.30921555
518.0499878,162.1952972,291.8968201,252.5178528,187.0280914,149.0118408,113.5225983,91.84851837,71.66593933,55.96233749,45.77050781,41.15001297,30.42683983,27.63876343,24.76114082,23.00531006,18.07368469,13.29793644,12.32694244
518.9500122,153.6521759,291.4572449,261.3957825,196.4158173,156.5809784,121.1865616,96.17707825,76.08587646,59.12935257,49.29502487,43.5375824,32.19141769,29.2716217,25.53827095,23.95533752,19.27933693,13.86509895,13.02118874
520,146.0326385,293.2737732,269.1806946,206.3251801,166.7966461,128.7109375,103.890213,80.7901001,63.14523697,51.73986816,46.55520248,34.03991318,31.54217529,27.65363121,25.19942093,19.99030304,14.20962334,13.4557085
521.039978,137.8818817,292.1882935,275.9195251,214.7196503,175.2667542,135.2107697,110.5672302,86.35631561,67.65116119,55.99795151,49.9137001,36.67551422,33.24691391,29.44216537,27.10478401,21.2410984,15.10135174,14.0384655
521.9400024,133.3680573,291.4959412,280.4532471,220.76651,181.3475189,140.8622894,115.6356506,90.28265381,71.09923553,58.59023666,52.5252037,38.4544754,35.05112457,30.55783653,28.13566971,22.37426376,15.790205,14.53382587
522.9799805,125.4556961,285.3978271,287.0776672,228.7734985,188.8839111,149.95224,124.7183762,97.19692993,76.11049652,63.00541687,56.11114502,41.29678726,37.51511765,33.25143814,30.07483292,23.5116291,16.27630234,15.39407349
524.0200195,118.9309998,281.4465332,290.421051,237.2683105,199.8805847,159.7364349,131.4801636,102.7596664,83.28372192,67.06859589,60.67488861,44.08478546,40.60043716,35.39886856,32.23947525,25.21728897,17.47452545,15.71835423
525.0700073,112.0678177,272.0670776,291.4974365,242.9260559,207.9600677,167.1742401,139.4457703,110.3768311,87.40093231,72.65287781,64.91452026,47.69986725,43.2572403,37.66434479,34.38752365,26.86707497,18.34223938,16.63437843
525.9699707,106.4833984,265.4021606,294.7677612,248.0632935,215.0020142,175.5026245,145.0541077,116.4491959,93.12640381,76.80075836,68.5065918,50.50030518,46.32112122,40.49164581,36.23196793,28.73383522,19.2602272,17.70230675
527.0100098,102.3087921,256.7556152,291.6226501,252.9965973,222.4297333,181.1991425,154.105072,121.685051,100.2957306,81.88193512,73.96683502,54.6135788,49.80052948,43.27527618,39.13773727,30.11698723,20.60738754,18.81726837
528.0499878,96.17375946,247.9589081,289.7561035,257.0882874,228.0570068,188.4691772,161.1902466,129.1991577,105.0759735,86.75745392,79.14517212,58.3690834,52.79670334,46.23165512,42.3795929,33.06164551,22.0255394,19.61772537
528.9500122,91.67352295,237.2450104,287.9180908,259.0345154,230.9312286,194.1992188,167.0054321,134.0591736,111.0036621,91.34603882,83.88408661,61.56552124,56.14580917,49.16530609,44.45404434,35.02140045,23.30624008,20.69573784
530,87.81439209,226.3400421,282.5050659,257.8779907,236.8967743,200.7338867,172.9911652,140.3869019,116.5257187,98.04531097,89.12957764,66.46593475,59.7907753,53.41226959,47.4431076,37.64631271,24.87099075,22.0206871
531.0200195,83.8519516,214.9829559,275.5069885,259.537384,237.9757538,205.2821655,179.4770508,147.8422089,123.3101273,103.5489044,94.93797302,70.64588928,64.22653961,56.93711472,51.70415115,40.96107864,26.67657471,23.52192116
532.0499878,80.51540375,201.8056641,267.9917908,257.8959961,240.5192566,210.2079773,184.1327209,153.2132874,129.6108856,109.8220749,100.147377,75.68526459,68.92233276,61.28490067,55.49784088,43.79497528,28.62857056,24.8204174
532.9400024,76.58267975,192.3012543,260.1559448,254.3169861,239.7674713,212.2543182,187.5639343,157.3074646,134.4931946,114.2591324,106.2055359,80.08733368,72.60647583,65.23513031,58.92811584,46.45246124,30.06160355,26.3589077
533.9699707,74.11711121,181.2131042,251.6319733,250.3463287,238.8692932,217.0613861,191.5141449,162.8991699,140.2190857,119.6781311,112.1146851,84.86645508,77.825737,69.66162109,63.09912491,50.45372772,32.88540649,28.53850365
535,71.51937866,170.1529846,241.4166412,246.9640198,238.3664703,215.516983,195.5603943,165.653244,145.1542511,125.1647186,118.565033,89.88108063,82.29653168,74.38863373,67.91569519,54.03221512,35.38024139,30.22570229
536.0200195,68.82874298,159.3608856,229.4677887,240.2111206,235.3891754,216.1717072,196.6231689,169.2746887,148.1439819,129.2580872,122.2831955,94.4335556,86.73984528,77.79878235,72.11076355,57.15395355,37.96421814,32.42726898
537.0499878,66.53182983,149.0067596,219.5060577,230.5308685,231.0717316,215.6412048,197.6160431,172.3334045,152.3375092,132.8634338,127.0330963,99.29998779,91.49372864,83.49221802,76.75447083,62.66937256,40.51673889,35.08740234
537.9400024,63.71750641,140.2047882,207.9059906,224.3990021,225.9956512,212.8527679,197.6005096,172.3171692,155.5218048,136.6403503,131.0483246,102.856636,94.58955383,87.87262726,81.19274139,66.17210388,43.06628799,36.70563126
538.9699707,62.46332932,130.5636292,196.3161774,214.3277283,218.4040833,208.0323944,195.9377441,171.3424835,157.3177948,140.272644,133.7796478,106.3215485,98.95780945,92.13945007,85.36101532,70.70410156,45.99225616,39.95218658
540,60.06252289,122.7123184,184.8876801,204.4552307,213.3429718,204.6236267,192.7793579,171.325592,157.4134979,142.2572479,137.8460693,110.774559,102.7553101,95.95030975,89.41509247,74.93811035,49.17868042,42.20706177
541.039978,59.36660385,115.3128815,174.3666077,196.1598663,204.6811523,200.2020416,190.3232422,170.3296051,157.7804108,142.9525909,140.4736176,112.6683655,106.637825,99.15853882,93.70026398,78.37633514,51.97410965,45.03632736
541.9400024,58.35080338,109.4317856,165.4478149,187.3059387,197.7414398,193.477951,185.7373199,168.8266296,157.3688965,143.9837189,141.1869202,116.0378876,108.9726257,102.7221985,96.69911194,82.97440338,54.45836258,46.91172409
542.9799805,57.34806061,102.5149765,156.5314178,178.2012024,188.9555664,187.6034241,180.8722229,165.2897034,156.2705383,143.7856293,142.2101135,117.8715363,110.3038177,105.0428162,99.68571472,86.79737091,57.19655991,49.22983932
544.0200195,55.95775604,97.84555817,145.4648895,166.8730011,182.1004486,181.6752167,175.3148651,162.10495,153.3771057,143.906189,142.1155243,118.2178345,112.0664291,107.3550873,102.7619247,89.88346863,59.94527817,51.45506287
545.0700073,54.66485214,93.0721283,137.7403412,158.30336,171.0878143,174.063324,170.2817078,155.835968,151.5874786,142.1031189,141.1547089,119.2513351,112.6002655,109.8954773,104.5421448,92.65840149,62.40891647,53.83631897
545.9699707,53.96543884,88.69034576,129.8425598,150.24617,163.753952,167.0796051,164.1119995,152.9453125,148.886322,139.9580688,140.5020599,118.7011566,113.8153763,110.2933807,106.3979568,94.57196808,64.12879181,56.55528641
547.0100098,52.51758957,84.22632599,123.2669754,143.5397644,155.8131561,159.3491211,157.8154755,147.9100952,143.4752045,136.9661255,139.0157776,118.6369247,113.1901245,110.9148636,107.0025787,97.276474,66.85545349,58.67497253
548.0499878,52.24573517,80.23838806,115.8120956,134.7768402,147.4600677,150.7301483,149.5071716,142.0214233,138.9837189,134.460968,135.1239319,116.540451,112.6904755,110.8996964,106.9574814,99.0455246,68.49306488,60.49438095
548.9500122,51.11203766,76.82233429,109.7309418,127.5593643,140.7214813,145.7764893,144.3475189,137.383194,134.9536743,130.0021362,132.4482269,114.8529205,110.3433228,110.212204,107.14328,99.11857605,69.12879181,61.62757492
550,51.35188675,73.52976227,103.6479263,120.7056961,132.4520111,137.8739166,136.7421112,130.4775848,129.7878876,125.0155106,129.4015503,113.3538666,108.8584137,109.4846268,106.7619858,99.58145142,71.1136322,62.85506439
551.0200195,49.5848465,70.51078033,97.77954865,113.3466949,124.928772,129.5739594,129.611969,124.00354,124.4158096,120.9950409,124.3274155,110.5707474,106.6973495,107.2299957,104.9092941,100.337471,71.20307159,63.91459656
