Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s ,240 s,270 s,300 s,330 s,360 s,390 s ,420 s,450 s,480 s,570 s,600 s
650.0166626,0.008514157,0.012844456,0.011208195,0.026028588,0.010249305,0.006809079,0.004112264,0.005547385,0.010780693,0.002883958,0.003968665,0.014663316,0.006687061,0.018222401,0.008036818,0.00610014,0.006646685,0.00898618
648.9905396,0.008544437,0.012709483,0.011332765,0.026082518,0.010470352,0.006842212,0.004057233,0.005522216,0.010805346,0.003037052,0.004044326,0.01454215,0.006668896,0.018186202,0.007969291,0.006082735,0.006722998,0.009005393
648.0008545,0.008774893,0.012918586,0.01144387,0.026382077,0.010273344,0.006958039,0.004229875,0.005696596,0.010947905,0.003151087,0.004035573,0.014857639,0.006902883,0.018284602,0.008376721,0.00636563,0.006921242,0.009391285
647.0108643,0.008688765,0.012895226,0.011590495,0.026480373,0.010574287,0.007051639,0.004165446,0.005795853,0.01098109,0.003309049,0.004039257,0.015007483,0.006891679,0.018406764,0.008132366,0.00644494,0.006922688,0.0094684
645.9838867,0.008662119,0.013082222,0.011842844,0.026170461,0.010492336,0.006985738,0.004269818,0.005775339,0.010972886,0.003281427,0.004071761,0.014963272,0.007060795,0.018359883,0.008119204,0.006425552,0.006967983,0.009357799
644.9933472,0.008808387,0.012767994,0.011694858,0.026456766,0.010529596,0.006838688,0.003934967,0.005591986,0.010871909,0.003188819,0.004058853,0.015008555,0.006856439,0.018536819,0.007999982,0.006510864,0.006947255,0.009640084
644.0025024,0.008794758,0.012952321,0.011747248,0.026270716,0.0104725,0.006962932,0.00392525,0.005998766,0.010981116,0.003361298,0.004199712,0.015006786,0.006946887,0.018695289,0.00809196,0.006583158,0.006876321,0.009591017
643.0113525,0.008866402,0.012716413,0.011523024,0.02617915,0.010418062,0.006798351,0.003996801,0.005725814,0.01077512,0.003176667,0.003909081,0.014976883,0.006970534,0.018517505,0.007921177,0.006609993,0.006746291,0.009502239
641.9832153,0.00894329,0.013084676,0.011635295,0.026608301,0.010848446,0.006917849,0.004019713,0.005761671,0.010939437,0.00360194,0.004194954,0.015107444,0.007066978,0.018889965,0.008239646,0.006737378,0.007143733,0.009744561
640.9914551,0.008802312,0.012911332,0.011630323,0.02627374,0.010618213,0.006635619,0.003834384,0.005669739,0.010825834,0.003308006,0.003932355,0.015225042,0.007101446,0.018659836,0.008152543,0.006633569,0.007088106,0.009623965
639.9995117,0.009044905,0.013116104,0.011477146,0.02645308,0.010851604,0.006749315,0.004070664,0.005819306,0.010774058,0.003387073,0.00399748,0.015239733,0.006994735,0.019039314,0.008397781,0.006774371,0.007037038,0.009934125
639.0072021,0.009059152,0.013169573,0.011569466,0.026514849,0.010967577,0.006876952,0.004044064,0.005954727,0.01098186,0.00334129,0.004067189,0.015262925,0.007204105,0.01907718,0.008559142,0.006841239,0.006980583,0.010170832
638.0147095,0.008891819,0.013065042,0.01143595,0.026519636,0.010931473,0.00668112,0.00381835,0.005910325,0.01112971,0.003461667,0.004159723,0.015396629,0.007258246,0.019105177,0.008532583,0.006906934,0.007029829,0.01010141
636.9851074,0.008956952,0.013213228,0.011313768,0.026451731,0.011001533,0.006724943,0.003995573,0.006118438,0.011120202,0.00344515,0.004074923,0.015506391,0.007304102,0.019203922,0.008557109,0.007030855,0.006743426,0.010220787
635.9919434,0.009086482,0.013263053,0.011555695,0.026673283,0.011217041,0.006862777,0.004128492,0.006110089,0.011239381,0.003598521,0.004247912,0.015595171,0.007635713,0.019476356,0.008607406,0.007161996,0.00703688,0.01030775
634.9985962,0.009153469,0.013483825,0.011774642,0.026724897,0.011285313,0.007011729,0.004131394,0.006260754,0.011249449,0.003740196,0.004464461,0.015622031,0.007786038,0.019497175,0.008675138,0.007566852,0.007063479,0.010537023
634.0048218,0.009177396,0.013236686,0.011431008,0.026804987,0.011118635,0.006970008,0.004175248,0.006112032,0.011298996,0.003677145,0.004438726,0.015732011,0.007781795,0.019380013,0.008655966,0.007393327,0.006966694,0.010524663
633.0109253,0.009126399,0.013489727,0.01132506,0.026847309,0.01112461,0.007043484,0.004156064,0.006036141,0.011439937,0.00371769,0.004588943,0.015788702,0.007859836,0.019701717,0.008852505,0.00737658,0.007224766,0.010595745
632.0166626,0.009258544,0.013538088,0.011606128,0.026811596,0.011148353,0.007218607,0.004265583,0.006261252,0.011441213,0.003964198,0.004744759,0.016074153,0.008070889,0.01983227,0.009089073,0.007608499,0.007395512,0.010856647
630.9852905,0.00943451,0.013483692,0.011488257,0.026672157,0.011081642,0.007305813,0.004294235,0.006322631,0.011550086,0.003872489,0.004702732,0.016091989,0.00813218,0.019884108,0.009166503,0.007861127,0.00759949,0.01074678
629.9905396,0.009576514,0.013621257,0.011630456,0.026806088,0.011138075,0.007266775,0.004487581,0.006423765,0.011706133,0.003906051,0.004906129,0.016200073,0.008213582,0.019940667,0.00916341,0.007772624,0.007664851,0.010985763
628.9954224,0.009330213,0.013544284,0.011475126,0.026779408,0.011059629,0.007133233,0.004473405,0.006371671,0.011670021,0.003903178,0.00478912,0.01610166,0.008209256,0.019878281,0.009064015,0.007921757,0.007621803,0.011136083
628.000061,0.009579796,0.013750343,0.011625297,0.02699741,0.010955073,0.007380635,0.004678841,0.006547023,0.011818185,0.004149609,0.005164472,0.016341565,0.008422299,0.020114399,0.009365893,0.008132392,0.00781487,0.011223496
627.0043945,0.009599379,0.013726163,0.011750254,0.027130451,0.011002649,0.00740478,0.004760435,0.00664934,0.011866334,0.004068521,0.005317979,0.016518543,0.008662251,0.020046242,0.009606895,0.008283231,0.008025005,0.011426675
626.0084839,0.009654376,0.013890932,0.011652578,0.026967302,0.010817102,0.00743601,0.004757085,0.006503664,0.012092305,0.004046338,0.005476286,0.016683703,0.008652427,0.020312859,0.009807096,0.008242602,0.007962674,0.011577893
625.0123291,0.009493349,0.013781657,0.011565531,0.026866861,0.01068602,0.007369709,0.004952235,0.006385121,0.011902196,0.004129826,0.005419929,0.016649622,0.008652453,0.020294711,0.009724257,0.008309828,0.008095652,0.011566143
624.0158081,0.009783664,0.014111381,0.012000114,0.02733341,0.010899593,0.007777104,0.005353017,0.006811498,0.012301298,0.004496971,0.005712726,0.016948665,0.009065125,0.020745344,0.010186759,0.008602864,0.008414224,0.011974914
622.9821777,0.009780381,0.014065737,0.01174161,0.02740192,0.010934048,0.007741343,0.005397256,0.006774529,0.01251444,0.00423607,0.005766997,0.016922476,0.009064967,0.020827707,0.010227969,0.008618232,0.008563524,0.012005809
621.9852295,0.009877637,0.014007158,0.011867611,0.027112843,0.010939915,0.007613083,0.005548434,0.006778289,0.012606208,0.004541515,0.005671496,0.016943013,0.009152545,0.020889115,0.009989165,0.008735564,0.008759098,0.012090522
620.987854,0.009724363,0.014080898,0.011825261,0.027103035,0.010713932,0.00765152,0.00542483,0.006516672,0.012719745,0.004342027,0.005823504,0.017049504,0.009034438,0.020707659,0.010153926,0.008664337,0.008550192,0.01208102
619.9903564,0.009935476,0.014390834,0.01192654,0.027498765,0.011118555,0.008074291,0.005953966,0.007055375,0.013113836,0.004720002,0.006115418,0.017469591,0.00949274,0.021160813,0.010549276,0.00900468,0.009001904,0.012594642
618.9924927,0.009849462,0.014316157,0.012024198,0.027353756,0.011036183,0.007828549,0.005974778,0.00703125,0.012848109,0.004708332,0.006252507,0.017389264,0.009498006,0.021305291,0.010438055,0.009107815,0.009042843,0.012485508
617.9944458,0.01015178,0.014494158,0.012124459,0.027426019,0.011148779,0.008005598,0.006018267,0.007226187,0.013203409,0.004891861,0.006206789,0.017483119,0.009678092,0.021472963,0.010696129,0.009391603,0.009192414,0.012811929
616.9960327,0.010202395,0.014229459,0.01218819,0.027754709,0.011296206,0.008157449,0.005991076,0.007347856,0.013018894,0.00492888,0.006266478,0.017638346,0.009659326,0.02146638,0.010629859,0.009342168,0.009495333,0.012974671
615.9974365,0.010104987,0.014479866,0.012124247,0.027576845,0.011464654,0.008036001,0.005903109,0.007284385,0.013078781,0.005035268,0.006440474,0.017615002,0.009681242,0.02178313,0.010745745,0.009571884,0.009588847,0.012939414
614.9984741,0.010199823,0.014445825,0.012205122,0.027619381,0.011462023,0.008176045,0.006103841,0.007237162,0.013187958,0.005113865,0.00660923,0.017769603,0.009924167,0.021664124,0.010929854,0.009655117,0.009917864,0.013179046
613.9992676,0.010297863,0.014622915,0.01233613,0.027624097,0.011638831,0.00826843,0.0061637,0.007438301,0.013295135,0.00518205,0.006681514,0.017899226,0.010111823,0.021950033,0.011013534,0.009869374,0.010160604,0.013440623
612.9998169,0.01030661,0.014658524,0.012298315,0.027662527,0.0118807,0.008259776,0.006197441,0.007335351,0.013187665,0.005158709,0.006698365,0.017853776,0.009939926,0.021943634,0.010860947,0.00989591,0.010195955,0.013547088
612.000061,0.010383622,0.014689476,0.012518037,0.027715554,0.012025342,0.008433385,0.006443049,0.007581498,0.013388108,0.005211365,0.006991605,0.018216165,0.009969007,0.022408139,0.011023172,0.010204568,0.010425407,0.013729075
611.0001221,0.010425593,0.01480305,0.012702579,0.027936179,0.0122146,0.008493249,0.006491157,0.007635159,0.013389844,0.005429967,0.007259141,0.01826662,0.010128462,0.022588616,0.01120275,0.010237775,0.010688381,0.013982322
609.9998169,0.010421562,0.014898784,0.01253826,0.027943218,0.012224478,0.008608832,0.006473342,0.007620986,0.01340111,0.005447765,0.007212264,0.018297967,0.010226141,0.022278771,0.011128196,0.010404036,0.010766071,0.014073277
608.9993286,0.010554872,0.014977098,0.012267506,0.02797077,0.012275654,0.008667849,0.00671653,0.007680001,0.013508819,0.005637272,0.007456103,0.018494381,0.01034587,0.022539236,0.0114119,0.010499416,0.011100444,0.014269903
607.9984741,0.010570017,0.014972569,0.012627766,0.027939934,0.012337622,0.008633125,0.006657567,0.007870696,0.013356314,0.005685291,0.007450836,0.018380297,0.010126607,0.022760164,0.011332234,0.010549143,0.011429147,0.014302139
