Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
650.0106201,-0.006542846,0.025227157,0.009436679,-0.001440595,-0.007110539,-0.002282827,-0.006901314,-0.001170641,0.008856627,-0.004226786,-0.004190382,-0.003157249,-0.003225396,0.00144313,-0.000472628,0.009227236,0.002385668,-0.003589025
648.9846191,-0.006371153,0.02501687,0.009628253,-0.001454218,-0.007088638,-0.002444663,-0.006949414,-0.00111885,0.008683034,-0.004008062,-0.003824844,-0.003309511,-0.00326856,0.001501182,-0.000449769,0.008968791,0.002532702,-0.003564481
647.994873,-0.006310539,0.024731731,0.009855605,-0.001318285,-0.006979983,-0.002170181,-0.006830276,-0.001042418,0.008882175,-0.004029606,-0.00360027,-0.003108728,-0.003028326,0.00152269,-6.77E-05,0.009103559,0.002687574,-0.003417496
647.0049438,-0.006215061,0.024918029,0.009956824,-0.001312143,-0.006897391,-0.00212804,-0.006893161,-0.001020519,0.008898054,-0.003967946,-0.003504861,-0.002980716,-0.002871439,0.00139228,-2.69E-05,0.009194819,0.002679786,-0.003206227
646.0147095,-0.006525914,0.024731074,0.009956161,-0.001686351,-0.007116345,-0.002103465,-0.006844291,-0.000899744,0.008380443,-0.003966766,-0.003500342,-0.002952384,-0.002869125,0.001508793,-0.000164604,0.008875517,0.002713856,-0.00338195
644.9874878,-0.006234301,0.024463732,0.010231971,-0.001644782,-0.007068264,-0.002269437,-0.006949974,-0.001031211,0.008484512,-0.004051457,-0.003367771,-0.00309819,-0.003095568,0.001353769,-0.000132412,0.008978358,0.002809437,-0.003326004
643.9967041,-0.006379163,0.024608355,0.010028157,-0.001738641,-0.007069537,-0.002106608,-0.007142726,-0.001053368,0.008270251,-0.004096796,-0.003410973,-0.002983287,-0.002985909,0.00115478,-0.000149388,0.008967919,0.002988517,-0.003444463
643.0056763,-0.006223941,0.024355188,0.009886852,-0.001998348,-0.006986504,-0.002290603,-0.007193753,-0.001145908,0.008255898,-0.004332493,-0.003655359,-0.003152007,-0.003159716,0.000983148,-0.000127754,0.008912428,0.002830907,-0.003508148
642.0142822,-0.006329418,0.024613367,0.010154774,-0.001779066,-0.006980798,-0.002120931,-0.007025476,-0.000949184,0.008389389,-0.004115207,-0.003390374,-0.00306272,-0.002927752,0.001321598,0.000291807,0.009262484,0.003084993,-0.00324369
640.9859009,-0.006425076,0.024524232,0.009901312,-0.002011901,-0.006989561,-0.002066368,-0.007186725,-0.00111286,0.008204481,-0.00429943,-0.00379744,-0.002857707,-0.003056551,0.001007199,-0.000159221,0.009168777,0.003042214,-0.003193945
639.9938965,-0.006179589,0.024753928,0.009917838,-0.001970828,-0.00681361,-0.002099807,-0.007067806,-0.00071676,0.00849515,-0.004154899,-0.00354199,-0.002919473,-0.003000254,0.001307499,0.000167385,0.009246459,0.003249947,-0.003035678
639.001709,-0.006084389,0.024886476,0.010035177,-0.001899288,-0.006971627,-0.001810001,-0.007214732,-0.000854948,0.008414329,-0.00420397,-0.003756124,-0.002842431,-0.002674981,0.00107508,0.000240754,0.009392264,0.003340351,-0.00304411
638.0092163,-0.006198474,0.024448423,0.009746891,-0.001971446,-0.006970507,-0.002144887,-0.007190137,-0.000781725,0.008480104,-0.004202739,-0.003528793,-0.002766199,-0.002774173,0.001230964,0.000299552,0.009513484,0.003128325,-0.003056911
637.0164795,-0.006098632,0.025124757,0.009815569,-0.002130719,-0.007060624,-0.002010252,-0.007086448,-0.000785343,0.008615222,-0.004112386,-0.003489198,-0.002699678,-0.002618789,0.00095998,0.000439689,0.009516262,0.003327673,-0.003025087
635.9866333,-0.006079794,0.024789967,0.009794413,-0.002142053,-0.006983243,-0.001869132,-0.007153981,-0.000695723,0.008715914,-0.00399057,-0.003492382,-0.002694996,-0.002507466,0.001166434,0.000416498,0.009664407,0.003515605,-0.002691034
634.9932251,-0.005935905,0.024755819,0.009912646,-0.002081671,-0.006860293,-0.001882793,-0.007090981,-0.000760381,0.008627473,-0.003858969,-0.003127232,-0.002605152,-0.002308988,0.001198023,0.000488406,0.009899643,0.003534682,-0.002587346
633.9996338,-0.006085052,0.024889382,0.009959075,-0.002295496,-0.007122661,-0.002122837,-0.007078706,-0.000720637,0.008760075,-0.004020886,-0.003447031,-0.002734921,-0.002272733,0.001064466,0.000568077,0.009838446,0.003530245,-0.002709865
633.0056763,-0.006019292,0.025239009,0.010154668,-0.002215253,-0.00699328,-0.001964128,-0.006874256,-0.000783844,0.008805958,-0.003964766,-0.003458895,-0.002577259,-0.002284475,0.001128592,0.00059112,0.009813848,0.003634255,-0.002577104
