Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
430,22.76570511,17.49977493,11.78761482,10.67124557,10.98393726,10.30814552,10.04093647,10.6242609,10.9118309,11.0434494,4.961988926,11.76870155,11.91447258,11.62084484,12.20333385,12.35312939,13.31371212,12.38361645
431.0599976,25.56243706,15.42037487,12.46718597,11.78177547,12.23192596,10.9870472,11.03637028,11.45963097,11.49534225,11.79891968,4.803938389,12.61831093,12.88440037,12.85013676,13.21212387,13.46544933,14.36962414,13.50629711
431.9599915,27.68587112,15.46001816,13.33544922,12.3606739,12.87796402,11.7951746,11.78304386,12.26455402,12.2150135,12.79439354,4.721138954,13.55440235,13.38257694,13.66550541,14.37740993,14.59104252,15.32272148,14.48369694
433.0299988,30.80464172,15.77088642,14.30037117,13.25448132,13.92752552,12.63576508,12.66895294,12.87975216,13.44832516,13.30148697,4.90140295,14.63347626,14.69563675,14.73621082,15.39033604,15.59100628,16.7545681,15.50219822
433.9299927,33.4070549,16.56201744,14.9382391,13.90840054,14.33594894,13.35377407,13.10808086,13.97274494,14.16186428,14.21215534,4.813328266,15.2480402,15.51904202,15.62392807,16.05115509,16.62404633,17.55948448,16.57606697
435,36.35584641,17.29321861,15.92451859,14.77357101,15.41867256,13.96831131,14.18475628,14.63799763,15.10898972,15.26137161,5.079344273,16.72528839,16.59149742,16.55550957,17.39186478,17.68471718,18.84108734,17.81324387
436.0599976,40.20523834,17.70902443,17.10360336,15.80792522,16.49991417,14.8269577,14.83985519,15.77760506,16.23983955,16.5548172,5.219539642,17.54704857,18.02023125,17.88347626,18.86049652,19.03339958,20.08187866,18.99713516
436.9599915,43.56520844,18.45691299,17.78192139,16.47506523,17.31365013,15.69754219,15.89889431,16.33479309,17.03266907,17.26742554,5.269172192,18.62858772,18.76244736,18.77075577,19.34576607,19.95245361,21.40104866,20.30295753
438.0299988,46.92837524,19.28905106,19.02326202,17.31613731,18.36524773,16.86021423,16.56818962,17.23402023,17.92897797,18.23453331,5.591126919,19.67895126,20.11640739,19.66832924,20.56424904,21.10460663,22.84747887,21.05718613
438.9299927,49.64431381,19.8182869,19.86825562,18.1488533,18.76433563,17.17966843,17.2696228,18.01900673,18.85759735,18.75564957,5.572164059,20.15548515,20.74561501,20.73952484,21.23316956,22.08629799,23.79038811,21.98173332
440,53.42807007,20.65456772,20.62944603,18.95850563,19.67573547,18.2803936,18.21379471,18.97922707,19.1787281,19.69211388,5.601226807,21.27825165,21.73601532,21.62630463,22.35140419,23.59268951,24.65374756,23.31776428
441.0599976,57.58333969,21.44304466,21.97307205,19.61515427,20.79544258,19.20712852,19.08815002,19.75019455,20.35947609,20.7228756,5.910489082,22.44177437,22.99416542,22.51923943,23.88612938,24.38113403,26.6003418,24.9203949
441.9599915,60.69601822,22.91604996,22.8384552,20.84310532,21.77103233,19.60575104,19.62386131,20.46354294,21.14831352,21.58339882,6.214994907,23.2594223,23.76324081,23.73172951,24.39485931,25.78987694,27.57966232,26.05164528
443.0299988,64.59696198,24.29783821,24.43147659,21.77336502,22.33661652,20.64418793,20.65865517,21.72879982,22.14653969,22.55753136,6.17617178,24.09765625,24.8007412,25.04575539,25.78780746,26.98910522,28.89772415,27.59679413
443.9299927,68.15032959,25.67889595,25.19016075,22.92733765,23.52676582,21.30957603,21.31793594,22.23305893,22.87849426,23.13081169,6.461111069,24.74184608,25.64838791,25.8365593,27.14859581,28.07686043,30.22660637,28.28268051
445,71.42824554,26.87594986,26.23616219,23.63388824,24.14544296,22.06246376,22.29729462,23.28728676,23.81074524,24.05025291,6.706790447,26.38280678,26.58008957,26.85266876,28.09382057,29.22171783,31.31863785,29.79368401
