Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
250,0.576299667,0.37159124,0.320867062,0.312966436,0.336207092,0.575111985,0.260148764,0.214938208,0.130019039,0.167442083,0.215146303,-0.013206914,-0.12177451,-0.098413855,-0.04949306,-0.073014423,-0.084395856,-0.046021655
250.9299927,0.617126584,0.506241381,0.40912208,0.425956726,0.277275294,0.399984002,0.268420339,0.314985424,0.145109162,0.079674922,0.226754352,-0.034898996,-0.061023995,-0.113038063,-0.086014666,-0.018143579,-0.152361885,-0.004266426
252.0299988,0.519504309,0.599418998,0.361652762,0.361522019,0.49662894,0.31601283,0.179893866,0.452413619,0.22802937,0.181315437,0.152295098,0.080997095,0.004260093,-0.190610424,0.007589415,-0.024749681,-0.174717292,-0.023739204
252.9600067,0.540761948,0.484722883,0.440169543,0.428611457,0.329538167,0.410731584,0.325685173,0.213910788,0.131535679,0.165727541,0.263660938,0.053979412,-0.007586524,-0.155872166,0.103525653,-0.041907504,-0.107328847,0.046114191
254.0599976,0.662436366,0.709284306,0.530382037,0.390840143,0.373944938,0.35459733,0.277113855,0.355366021,0.035558086,0.159080863,0.352746129,-0.066765487,-0.047467917,-0.258901894,-0.152970105,-0.02754961,-0.063754037,0.02654314
255,0.630767047,0.579374254,0.43020004,0.158772171,0.420749962,0.318268597,0.211954221,0.24781394,0.177006826,0.31587261,0.246600419,-0.116727971,-0.082941979,-0.059877813,-0.117758676,-0.081402764,-0.187382624,0.134227112
255.9299927,0.363792688,0.570498526,0.502950609,0.393294334,0.31471023,0.448661506,0.151438668,0.321450949,0.066735625,0.114626318,0.234655216,0.046308145,-0.057740688,-0.238719404,-0.056479618,0.011740685,-0.155392393,-0.205276832
257.0299988,0.475817263,0.401433706,0.278512746,0.329087198,0.307920575,0.304325581,0.225164995,0.195760399,0.170053571,0.235695377,0.22075054,-0.07750307,-0.191288084,-0.006934404,-0.094315208,-0.035746992,-0.163177475,-0.050111234
257.9599915,0.310570151,0.414927632,0.328053236,0.274800777,0.16410546,0.436980337,0.194038182,0.234606847,0.131698668,0.156415433,0.288916439,0.107388541,-0.071870744,-0.022925973,-0.121903792,-0.109284513,-0.181095958,-0.073174849
259.0599976,0.428527713,0.459591687,0.252816349,0.307506233,0.269765496,0.281378746,0.094630264,0.282323509,0.102570415,0.143577963,0.251972973,0.030135289,-0.132914931,-0.07261835,-0.084189467,-0.040205851,-0.051264822,-0.051874369
