Time (s),Run 1,Time (s),Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
20,488.998871,30,485.98003,499.01324,457.98242,470.010162,492.991,460.016937,460.016937,488.99161
40,504.981659,60,503.00574,503.99377,472.9936,487.99912,503.98535,483.99588,483.00378,498.0166
60,515.000671,90,509.00899,509.00699,478.99353,499.00479,508.01154,495.01016,495.01016,503.98602
80,520.002014,120,512.00478,514.01489,488.990204,505.0112,508.99857,503.98062,499.99463,508.99908
100,525.98144,150,515.00067,515.00067,492.991,509.98541,511.9964,509.58987,505.0119,514.992249
120,527.002441,180,519.0174,517.00946,496.98331,514.99231,514.00653,514.99249,509.98587,519.00916
140,531.990601,210,519.0174,520.00201,496.98331,519.99371,517.0011,514.99249,514.99249,519.99384
160,531.990601,240,522.00873,524.0144,502.00891,519.99371,519.00897,516.01593,514.99249,519.99384
180,531.990601,270,522.00873,525.98145,503.98535,521.01559,519.99371,516.01593,514.99249,522.98438
200,,300,522.00873,527.00244,503.98535,524.00604,522.00037,522.00037,514.99249,526.0108
220,539.01001,330,525.98145,527.00244,503.98535,524.00604,522.98444,522.00037,514.99249,526.9939
240,539.01001,360,525.98145,529.98853,505.0112,524.00604,522.98444,522.98438,505.011902,530.01764
260,539.01001,390,525.98145,531.00854,503.98535,526.9942,526.01099,522.98438,499.99463,530.01764
280,539.01001,420,527.00244,529.98853,499.99368,526.9942,524.00604,522.98438,489.982513,530.01764
300,539.01001,450,530.989377,533.99194,499.004791,526.010099,526.9942,526.0108,486.0177,531.98199
,,480,531.00287,531.9906,499.99368,526.9942,530.01807,526.0108,471.006867,530.99994
,,570,531.00854,535.99225,503.98535,531.00031,528.99768,522.00037,454.993073,531.98199
,,600,533.99194,535.99225,503.98535,531.98242,530.01807,522.00037,454.993073,535.00232
