Wavelength (nm),Run 2 60 s,Run 3 30 s,Run 4 360 s,Run 5 150 s,Run 6 30 s,Run 7 120 s,Run 8 150 s,Run 9 30 s
450,73.28659821,,23.35793114,9.637495041,,12.12149715,29.8954277,
451.0599976,76.04225159,,25.09370804,9.745887756,,13.06395245,30.92622948,
451.9599915,77.81958771,,26.34736061,10.35005474,,13.6210041,32.01935577,
453.0299988,79.26351929,,28.36310387,10.53794765,,14.74816895,32.832798,
453.9299927,81.2895813,,29.66971397,10.67098141,,15.48608685,33.52543259,
455,83.63262177,,31.92974663,10.83034134,,16.44799232,35.06449509,
456.0599976,85.14720154,,33.78242111,11.15848637,,17.17459106,35.86075592,
456.9599915,87.15296936,,35.17696762,11.55464172,,17.88482475,37.28316116,
458.0299988,88.95304108,,37.14466476,11.74233341,,19.28523636,38.88687897,
458.9299927,91.27842712,,38.57461548,12.18445683,,19.95127678,39.53818512,
460,92.84170532,,41.04560089,12.57621098,,20.75858307,41.05645752,
461.0599976,95.0860672,,42.89048004,12.91656399,,21.622715,42.46298981,
461.9599915,95.84116364,,44.36583328,13.06665802,,22.69157219,43.26205444,
463.0299988,97.71473694,,46.4578476,13.65412331,,23.54875565,44.88262558,
463.9299927,98.73832703,,48.01628494,13.63732624,,24.40386772,46.08247757,
465,100.0522842,,49.51872253,14.04686928,,25.3199482,47.66948318,
466.0599976,101.7908478,,51.74024582,14.55866432,,26.18520546,49.51527786,
466.9599915,103.1154327,,53.67739487,14.93015671,,26.9139328,50.82198715,
468.0299988,104.8571396,,56.01363373,15.39983845,,27.90673065,52.72538757,
468.9299927,106.2827835,,57.63098145,15.61074162,,28.85628319,54.83094406,
470,106.9579468,,59.39528656,16.1928997,57.12213516,30.13251495,56.82815552,25.7664032
471.0599976,109.7165985,,61.71201324,16.85991478,61.13381577,31.22274399,59.03899384,27.43041229
471.9599915,110.1801758,,64.16060638,17.45171165,64.06189728,32.93175507,61.86865234,29.21714783
473.0299988,110.8984985,,66.45927429,18.04144859,69.56797791,34.13306046,65.39595032,31.4865551
473.9299927,112.2116241,,68.18997192,18.89162254,72.55593109,35.53058243,68.23445129,33.09164429
475,114.6634521,,70.1608429,19.90802383,77.02354431,37.22903442,72.13181305,34.96258545
476.0599976,116.4851685,,73.28414154,20.88193893,81.09584045,39.52849579,77.55286407,37.73539734
476.9599915,117.594017,,75.53549194,22.03433228,85.36890411,41.0307579,81.6628952,40.05086899
