Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
650.0106201,0.006006692,0.007606497,0.002660356,0.00132918,0.003931075,-0.008734699,-0.003926134,0.000940912,0.003374864,-0.000662899,-0.003573878,0.002825982,-0.004621338,-0.00302082,0.002318988,-0.003688779,-0.004485266,0.002570927
648.9846191,0.00601076,0.007423028,0.002581056,0.001374466,0.003890145,-0.008509553,-0.004139566,0.001026296,0.003362629,-0.000643669,-0.003556471,0.002833277,-0.004639881,-0.003280276,0.00226218,-0.003716191,-0.004427925,0.002733888
647.994873,0.006229713,0.007699183,0.002661737,0.00129714,0.003838432,-0.008478178,-0.003944193,0.001185563,0.00341812,-0.000257644,-0.003154885,0.002941082,-0.00463773,-0.002864496,0.002393841,-0.003626096,-0.004243756,0.002826034
647.0049438,0.00617696,0.007679712,0.002765877,0.00147822,0.003702782,-0.008420244,-0.003919413,0.001194908,0.003321439,-0.000367994,-0.003158585,0.003026469,-0.00453886,-0.002823349,0.002521402,-0.003488889,-0.004156027,0.002895346
646.0147095,0.00610287,0.007614453,0.002661424,0.001437157,0.003847469,-0.008687812,-0.004090436,0.0010086,0.003287661,-0.000382116,-0.003282794,0.003034446,-0.004652021,-0.002851998,0.002590431,-0.003697557,-0.004253907,0.002979238
644.9874878,0.006125762,0.007275882,0.002555173,0.001303864,0.003823808,-0.008610315,-0.004076794,0.000951108,0.002958518,-0.000580803,-0.003243382,0.002985676,-0.004662469,-0.002798402,0.002409172,-0.003736055,-0.004404863,0.00299029
643.9967041,0.006071106,0.007648122,0.002682182,0.001450818,0.003658558,-0.008664925,-0.00397082,0.000969813,0.003109474,-0.000420909,-0.003276011,0.003034263,-0.004587734,-0.0028377,0.002430179,-0.003603505,-0.004103001,0.002839296
643.0056763,0.005825157,0.007398803,0.002409719,0.000953546,0.003616635,-0.008915452,-0.004088795,0.000990335,0.002876792,-0.000706319,-0.003497415,0.002890994,-0.004743593,-0.003045549,0.002404201,-0.003614543,-0.004199817,0.003069169
642.0142822,0.006196286,0.007667433,0.002746391,0.001217959,0.003721267,-0.008815421,-0.003916591,0.001170976,0.003078111,-0.000302346,-0.003114844,0.003332499,-0.004391794,-0.002792949,0.002634494,-0.003583583,-0.003961483,0.003106085
640.9859009,0.005969423,0.007514542,0.002724901,0.001162981,0.003698631,-0.008742716,-0.003962304,0.000995212,0.003006268,-0.000632348,-0.003273648,0.002906604,-0.004462976,-0.003048428,0.002482323,-0.003719527,-0.004092539,0.00313427
639.9938965,0.00596428,0.007783692,0.002759391,0.001239375,0.003835507,-0.008847989,-0.004041557,0.001026322,0.002923986,-0.000425771,-0.003111709,0.003367638,-0.004361401,-0.002729828,0.00253127,-0.003545533,-0.003939166,0.003249399
639.001709,0.005977481,0.007585792,0.00280975,0.001253082,0.003733068,-0.008661423,-0.004069357,0.001058394,0.002952028,-0.000317556,-0.003181251,0.003143891,-0.004144899,-0.00269834,0.002626447,-0.003555547,-0.003818943,0.003447159
638.0092163,0.005959661,0.007537141,0.002708334,0.001173078,0.00363355,-0.008596357,-0.004107412,0.00116267,0.00294361,-0.000386047,-0.003271335,0.003422425,-0.004419469,-0.002918856,0.002633947,-0.003617521,-0.003799595,0.003205404
637.0164795,0.00605714,0.007811813,0.002750299,0.001168899,0.003672211,-0.008698773,-0.004177871,0.001110347,0.003028893,-0.000286411,-0.003369569,0.003338029,-0.00435197,-0.002806889,0.002746548,-0.003613414,-0.003765927,0.003327439
635.9866333,0.006163648,0.007712937,0.002963261,0.001307967,0.003832243,-0.008654368,-0.004087256,0.001155974,0.003107571,-0.000168692,-0.003068889,0.003378907,-0.004190639,-0.002803031,0.002724875,-0.003402343,-0.003644321,0.003342151
634.9932251,0.006082787,0.00779824,0.003112786,0.00132731,0.003890014,-0.008528235,-0.003948554,0.001204512,0.003083325,-0.000256247,-0.002833225,0.003390282,-0.004100232,-0.002611328,0.002877235,-0.003363507,-0.003674302,0.003628121
633.9996338,0.006129307,0.007834585,0.002844508,0.001270398,0.003642217,-0.00872658,-0.004116694,0.001154572,0.003171791,-0.000377409,-0.003232385,0.003365629,-0.004108745,-0.002750097,0.002808552,-0.003478155,-0.003920183,0.003464537
633.0056763,0.006143615,0.007919437,0.002933055,0.00135473,0.003799339,-0.008539962,-0.00394604,0.001283146,0.003103713,-0.000364529,-0.002953721,0.003566078,-0.00399098,-0.002696848,0.00277338,-0.003478926,-0.00372004,0.003604629
632.0114746,0.006263275,0.007862419,0.003232499,0.001509235,0.003702547,-0.008469242,-0.003973487,0.001352575,0.003291886,-4.32E-05,-0.002975523,0.003616348,-0.003838392,-0.002639373,0.0030266,-0.003328778,-0.003689395,0.003623553
631.0170898,0.006129307,0.007821433,0.003146733,0.001325337,0.003746854,-0.008602143,-0.003870977,0.001358054,0.002893756,-5.31E-05,-0.002864342,0.003784089,-0.003840137,-0.002694276,0.002993391,-0.003275292,-0.003622091,0.003626816
629.9854736,0.006005459,0.007841385,0.003281401,0.001281069,0.00390344,-0.008584886,-0.004066587,0.001294673,0.002908688,-2.85E-05,-0.002825149,0.003717742,-0.003827718,-0.002625582,0.003188375,-0.00323665,-0.00360294,0.003505401
628.9904785,0.006093078,0.007714044,0.003093414,0.00129553,0.003694219,-0.008677206,-0.00407864,0.001142166,0.002705833,-0.000173298,-0.002784873,0.003649239,-0.003894888,-0.002728747,0.003166863,-0.003430492,-0.003653716,0.003389682
627.9951782,0.006040473,0.007758446,0.003055092,0.001420795,0.003990949,-0.008571993,-0.003960867,0.001376231,0.002873274,-4.58E-05,-0.002752052,0.003738655,-0.003802828,-0.002575149,0.003290686,-0.003142344,-0.00356823,0.003681348
626.9995117,0.006427653,0.008006362,0.003185507,0.001351926,0.003968064,-0.00849813,-0.003906381,0.001526691,0.00315419,0.000161377,-0.002708425,0.003838041,-0.003857276,-0.002483478,0.003333308,-0.003058607,-0.003483908,0.003637179
626.0037231,0.006577429,0.00820427,0.003140006,0.001481701,0.004007225,-0.00847437,-0.003885447,0.001392773,0.00339096,8.77E-05,-0.002599131,0.003806363,-0.003780811,-0.002419282,0.003309649,-0.003257461,-0.003280584,0.003715001
625.0075684,0.006419063,0.007926476,0.002969099,0.001221048,0.003835194,-0.008491683,-0.00410336,0.001403473,0.003073653,1.18E-05,-0.002674106,0.003932538,-0.003840291,-0.002584103,0.00301891,-0.003103947,-0.003454941,0.003475053
