Wavelength (nm),30 s,60 s,90 s ,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
650.0106201,0.01215076,-0.004815382,0.001239557,0.009650591,-0.001973405,0.004104973,-0.004939118,0.005719178,-0.000541404,0.004139259,-0.0047291,0.001456506,0.003702965,0.013712644,-0.001034103,0.000554754,0.002927478,-0.003531103
648.9846191,0.012172003,-0.004896836,0.001299814,0.009852216,-0.001882999,0.004161343,-0.004763973,0.005476076,-0.000450958,0.004070376,-0.004517597,0.001316093,0.003731449,0.013870806,-0.000890082,0.000496855,0.003222303,-0.003565971
647.994873,0.012414595,-0.004730534,0.00137566,0.009775986,-0.00177061,0.004089059,-0.004606124,0.005792101,-0.000270631,0.004390557,-0.004448167,0.001609514,0.003996723,0.014123896,-0.000775937,0.000689943,0.003343481,-0.003198981
647.0049438,0.012291924,-0.004649715,0.001355431,0.009807811,-0.001524903,0.004243468,-0.004675427,0.0058579,-0.000107672,0.004275072,-0.004263186,0.00164628,0.004085062,0.014327555,-0.000634312,0.000747401,0.003520902,-0.003377172
646.0147095,0.01247589,-0.004589168,0.00140768,0.00987769,-0.001459636,0.004109913,-0.004756446,0.00591951,-4.43E-05,0.00442165,-0.004323882,0.001622011,0.004090549,0.014255967,-0.000771183,0.000704748,0.00361828,-0.00313191
644.9874878,0.01275941,-0.004627024,0.001294699,0.009860239,-0.001404112,0.004191321,-0.004474762,0.00583203,1.45E-05,0.004534322,-0.004268621,0.001509546,0.00401927,0.01453602,-0.000715623,0.000679857,0.003788633,-0.003160333
643.9967041,0.012622943,-0.004647308,0.001302436,0.009858014,-0.001480274,0.004253454,-0.004302147,0.005956328,-4.10E-05,0.004520406,-0.004413832,0.001559371,0.004243625,0.01455449,-0.000511309,0.000707989,0.004127474,-0.00294647
643.0056763,0.012660281,-0.004861,0.001332477,0.009747844,-0.001699759,0.004184134,-0.004619136,0.005862229,-0.000301674,0.004446729,-0.004271235,0.001629338,0.004180318,0.014595581,-0.000556451,0.000875725,0.004241089,-0.003233824
642.0142822,0.012942454,-0.004472917,0.001653789,0.009925677,-0.001377793,0.004658118,-0.004132797,0.006091424,0.000192427,0.004708855,-0.004210328,0.001927729,0.0045276,0.014817701,-0.000151562,0.00119727,0.004627061,-0.002836877
640.9859009,0.012740243,-0.004530252,0.001415341,0.009512954,-0.001409479,0.004552763,-0.004282719,0.005897547,9.85E-05,0.004782211,-0.004270928,0.00172741,0.004411608,0.01484687,-0.00027208,0.001133575,0.004532413,-0.002893554
639.9938965,0.013038659,-0.004585838,0.001678684,0.009798385,-0.001207041,0.004748737,-0.004100591,0.006006325,0.000293439,0.005014764,-0.004030375,0.001879318,0.004729345,0.015313308,2.18E-05,0.001214272,0.004815686,-0.002416605
639.001709,0.01317547,-0.004614935,0.00181087,0.009780858,-0.001349305,0.005156063,-0.003932342,0.006127023,0.000436864,0.005075652,-0.00396179,0.001991306,0.004656574,0.015298855,0.000159642,0.001307837,0.004854924,-0.002487133
638.0092163,0.013188065,-0.004465589,0.001860339,0.009583263,-0.001296297,0.005308729,-0.003829052,0.006071473,0.000682139,0.005024427,-0.003967228,0.002137661,0.004912648,0.015523132,0.000230783,0.001408823,0.005043177,-0.002491097
637.0164795,0.01339246,-0.004516931,0.001694561,0.009573048,-0.001108006,0.005666356,-0.003923928,0.006173232,0.000655954,0.005053233,-0.004069254,0.002198953,0.005088014,0.015695859,0.000489391,0.001428924,0.004998581,-0.0023749
635.9866333,0.013587202,-0.004225043,0.002014425,0.009927001,-0.001100931,0.005899436,-0.003598011,0.006401671,0.000872404,0.005237826,-0.003731692,0.0024143,0.005262298,0.015805641,0.00055338,0.001687259,0.005208666,-0.002133604
634.9932251,0.013585947,-0.004179563,0.002151526,0.009819858,-0.000841927,0.006169897,-0.003463929,0.006450037,0.000991554,0.005397676,-0.003601554,0.002490133,0.005372908,0.016135858,0.000675579,0.001730971,0.005370261,-0.001861555
633.9996338,0.013739522,-0.004342386,0.002098122,0.009752451,-0.000895611,0.006134164,-0.003382669,0.006315276,0.001026737,0.00532364,-0.003790357,0.002345222,0.005434738,0.015867578,0.000760237,0.001704956,0.005407321,-0.001999894
633.0056763,0.01384948,-0.004147873,0.00234746,0.009939025,-0.00089933,0.006459049,-0.003202476,0.006475182,0.001158258,0.005664625,-0.003648069,0.002394101,0.005421999,0.016210552,0.000929498,0.001932279,0.005714929,-0.001757049
632.0114746,0.013949282,-0.004121566,0.002529864,0.009810644,-0.000670602,0.006827985,-0.003185825,0.006695158,0.001418951,0.005673358,-0.003396128,0.002641109,0.005641731,0.016374547,0.00118019,0.002172286,0.005892403,-0.001694189
631.0170898,0.014098947,-0.004054431,0.002548299,0.009856293,-0.000586749,0.006934525,-0.003010949,0.006632281,0.001378205,0.005665045,-0.003413439,0.002662388,0.005623767,0.016578188,0.001233742,0.002024672,0.006075595,-0.001683772
629.9854736,0.01415235,-0.004117514,0.002622905,0.009849779,-0.000526874,0.006973927,-0.003073053,0.006764696,0.001634119,0.00581301,-0.003329343,0.002751732,0.005814374,0.016695593,0.001487207,0.002188026,0.006372985,-0.001603726
628.9904785,0.014141145,-0.004056124,0.002570614,0.009838738,-0.000600812,0.007160733,-0.003037221,0.006585997,0.001538095,0.005875742,-0.003399158,0.002676635,0.005915731,0.016999351,0.001402901,0.0022665,0.00634367,-0.001623893
627.9951782,0.014307383,-0.003911768,0.002684032,0.009959764,-0.000364166,0.007428374,-0.002742432,0.006807212,0.001844299,0.005971156,-0.003296358,0.002975407,0.006211069,0.017252844,0.001660883,0.002480839,0.006636539,-0.001374129
626.9995117,0.014580054,-0.003836852,0.002860845,0.010211829,-0.00023286,0.00732353,-0.002658207,0.007019964,0.001914469,0.006150993,-0.003051615,0.003139875,0.0061731,0.017227175,0.001775961,0.002793441,0.007144786,-0.00121623
